Topic, Languages, Max value, Length of L1, Length of L2, %L1, %L2, Diagonal>=2, Diagonal >=3, Diagonal>=4, Diagonal>=5
Savoia-Marchetti S.56,fr.de,0.42008402520840293,7,26,71.42857142857143,19.230769230769234,yes,yes,no,no
Savoia-Marchetti S.56,fr.it,0.22271770159368698,7,15,28.57142857142857,13.333333333333334,yes,no,no,no
Savoia-Marchetti S.56,fr.en,0.9164397149578765,7,10,85.71428571428571,60.0,yes,yes,yes,yes
Lister Storm,fr.de,1.0,42,55,76.19047619047619,60.0,yes,yes,yes,yes
Lister Storm,fr.it,0.598764159346999,42,10,11.904761904761903,50.0,yes,yes,yes,yes
Lister Storm,fr.en,1.0,42,44,92.85714285714286,88.63636363636364,yes,yes,yes,yes
SIAI S.8,fr.de,0.30588764516074896,5,10,40.0,20.0,yes,no,no,no
SIAI S.8,fr.it,0.26462806201248157,5,8,60.0,37.5,yes,yes,no,no
SIAI S.8,fr.en,0.857142857142857,5,5,100.0,100.0,yes,yes,yes,yes
SIAI S.19,fr.de,0.0,4,7,0.0,0.0,no,no,no,no
SIAI S.19,fr.it,0.2684377460965796,4,6,50.0,33.33333333333333,yes,no,no,no
SIAI S.19,fr.en,0.6405126152203486,4,4,100.0,100.0,yes,yes,yes,no
SIAI S.17,fr.de,0.0,4,11,0.0,0.0,no,no,no,no
SIAI S.17,fr.it,0.25584085962673253,4,6,50.0,33.33333333333333,yes,no,no,no
SIAI S.17,fr.en,0.8164965809277259,4,3,75.0,100.0,yes,yes,no,no
SIAI S.16,fr.de,0.8749999999999998,6,16,50.0,18.75,yes,yes,no,no
SIAI S.16,fr.it,0.0,6,28,0.0,0.0,no,no,no,no
SIAI S.16,fr.en,1.0,6,6,83.33333333333334,83.33333333333334,yes,yes,yes,yes
Savoia-Marchetti S.65,fr.de,0.3233808333817773,7,26,28.57142857142857,7.6923076923076925,yes,no,no,no
Savoia-Marchetti S.65,fr.it,0.0,7,3,0.0,0.0,no,no,no,no
Savoia-Marchetti S.65,fr.en,1.0,7,6,85.71428571428571,100.0,yes,yes,yes,yes
SIAI S.21,fr.de,0.2886751345948129,6,12,50.0,25.0,yes,yes,no,no
SIAI S.21,fr.it,0.0,6,15,0.0,0.0,no,no,no,no
SIAI S.21,fr.en,0.8006407690254358,6,6,83.33333333333334,83.33333333333334,yes,yes,yes,yes
Kawanishi E7K,fr.de,0.4767312946227962,15,9,13.333333333333334,22.22222222222222,yes,no,no,no
Kawanishi E7K,fr.it,0.7171371656006361,15,13,60.0,69.23076923076923,yes,yes,yes,yes
Kawanishi E7K,fr.en,1.0,15,14,93.33333333333333,100.0,yes,yes,yes,yes
SIAI S.51,fr.de,0.3651483716701107,17,16,11.76470588235294,12.5,yes,no,no,no
SIAI S.51,fr.it,0.3481553119113957,17,9,11.76470588235294,22.22222222222222,yes,no,no,no
SIAI S.51,fr.en,0.9258200997725514,17,12,58.82352941176471,83.33333333333334,yes,yes,yes,yes
SIAI S.12,fr.de,0.4338609156373123,6,18,33.33333333333333,11.11111111111111,yes,no,no,no
SIAI S.12,fr.it,0.34985571427065976,6,16,50.0,18.75,yes,yes,no,no
SIAI S.12,fr.en,0.8944271909999159,6,6,83.33333333333334,83.33333333333334,yes,yes,yes,yes
SIAI S.58,fr.de,0.3779644730092272,15,22,26.666666666666668,18.181818181818183,yes,no,no,no
SIAI S.58,fr.it,0.41247895569215276,15,9,26.666666666666668,44.44444444444444,yes,no,no,no
SIAI S.58,fr.en,0.8625819491779427,15,16,100.0,93.75,yes,yes,yes,yes
SIAI S.22,fr.de,0.0,2,13,0.0,0.0,no,no,no,no
SIAI S.22,fr.it,0.24845199749997662,2,15,100.0,13.333333333333334,yes,no,no,no
SIAI S.22,fr.en,0.6670137985134996,2,2,100.0,100.0,yes,no,no,no
SIAI S.13,fr.de,0.3779644730092272,9,10,44.44444444444444,40.0,yes,no,no,no
SIAI S.13,fr.it,0.0,9,1,0.0,0.0,no,no,no,no
SIAI S.13,fr.en,0.8593378488473195,9,8,88.88888888888889,100.0,yes,yes,yes,yes
SIAI S.9,fr.de,0.0,1,13,0.0,0.0,no,no,no,no
SIAI S.9,fr.it,0.0,1,10,0.0,0.0,no,no,no,no
SIAI S.9,fr.en,0.0,1,2,0.0,0.0,no,no,no,no
Supermarine S.5,fr.de,0.30382181012509996,20,13,15.0,23.076923076923077,yes,yes,no,no
Supermarine S.5,fr.it,0.48852715085276033,20,15,10.0,13.333333333333334,yes,no,no,no
Supermarine S.5,fr.en,1.0,20,21,100.0,90.47619047619048,yes,yes,yes,yes
Macchi M.33,fr.de,0.4082482904638632,8,7,62.5,71.42857142857143,yes,yes,no,no
Macchi M.33,fr.it,0.0,8,4,0.0,0.0,no,no,no,no
Curtiss R3C,fr.de,0.5143444998736397,11,12,36.36363636363637,33.33333333333333,yes,no,no,no
Curtiss R3C,fr.it,0.0,11,4,0.0,0.0,no,no,no,no
Curtiss R3C,fr.en,0.9304842103984708,11,11,100.0,100.0,yes,yes,yes,yes
Piaggio P.7,fr.de,0.0,20,7,0.0,0.0,no,no,no,no
Piaggio P.7,fr.it,0.4629100498862757,20,44,10.0,4.545454545454546,yes,no,no,no
Piaggio P.7,fr.en,0.857142857142857,20,18,55.00000000000001,61.111111111111114,yes,yes,yes,no
Macchi M.39,fr.de,0.0,36,4,0.0,0.0,no,no,no,no
Macchi M.39,fr.it,0.0,36,23,0.0,0.0,no,no,no,no
Macchi M.39,fr.en,0.8340576562282991,36,18,41.66666666666667,83.33333333333334,yes,yes,yes,yes
