Topic, Languages, Max value, Length of L1, Length of L2, %L1, %L2, Diagonal>=2, Diagonal >=3, Diagonal>=4, Diagonal>=5
Cytinus hypocistis,it.de,0.5773502691896258,11,16,54.54545454545454,37.5,yes,yes,yes,no
Cytinus hypocistis,it.fr,0.35355339059327373,11,5,18.181818181818183,40.0,yes,no,no,no
Cytinus hypocistis,it.en,0.0,11,5,0.0,0.0,no,no,no,no
Pinus jeffreyi,it.de,0.0,6,110,0.0,0.0,no,no,no,no
Pinus jeffreyi,it.fr,0.563436169819011,6,5,33.33333333333333,40.0,yes,no,no,no
Pinus jeffreyi,it.en,0.7092081432669752,6,19,33.33333333333333,10.526315789473683,yes,no,no,no
Verbascum nigrum,it.de,0.37062465833055064,7,13,85.71428571428571,46.15384615384615,yes,yes,no,no
Verbascum nigrum,it.fr,0.0,7,8,0.0,0.0,no,no,no,no
Verbascum nigrum,it.en,0.0,7,2,0.0,0.0,no,no,no,no
Pinus koraiensis,it.de,0.2672612419124244,12,87,16.666666666666664,2.2988505747126435,yes,no,no,no
Pinus koraiensis,it.fr,0.0,12,3,0.0,0.0,no,no,no,no
Pinus koraiensis,it.en,0.5000000000000001,12,12,41.66666666666667,41.66666666666667,yes,yes,no,no
Nigella damascena,it.de,0.8164965809277259,8,78,50.0,5.128205128205128,yes,yes,yes,no
Nigella damascena,it.fr,0.35355339059327373,8,12,25.0,16.666666666666664,yes,no,no,no
Nigella damascena,it.en,0.19245008972987526,8,21,25.0,9.523809523809524,yes,no,no,no
Acanthus mollis,it.de,0.0,10,22,0.0,0.0,no,no,no,no
Acanthus mollis,it.fr,0.35355339059327373,10,30,50.0,16.666666666666664,yes,yes,no,no
Acanthus mollis,it.en,0.49009802940980346,10,23,60.0,26.08695652173913,yes,yes,no,no
Spergularia media,it.de,0.4216370213557839,11,13,36.36363636363637,30.76923076923077,yes,yes,yes,no
Spergularia media,it.en,0.35355339059327373,11,7,18.181818181818183,28.57142857142857,yes,no,no,no
Pinus densiflora,de.fr,0.44474958999666075,35,7,5.714285714285714,28.57142857142857,yes,no,no,no
Pinus densiflora,de.en,0.41602514716892186,35,8,5.714285714285714,25.0,yes,no,no,no
Pinus ayacahuite,it.de,0.5051814855409226,13,11,30.76923076923077,36.36363636363637,yes,yes,yes,no
Pinus ayacahuite,it.fr,0.45601459270045336,13,14,46.15384615384615,42.857142857142854,yes,yes,yes,yes
Pinus ayacahuite,it.en,0.5200314339611525,13,16,30.76923076923077,25.0,yes,no,no,no
Consolida regalis,it.de,0.0,7,28,0.0,0.0,no,no,no,no
Consolida regalis,it.fr,0.3872983346207417,7,15,57.14285714285714,26.666666666666668,yes,no,no,no
Consolida regalis,it.en,0.5773502691896258,7,19,71.42857142857143,26.31578947368421,yes,yes,no,no
