Topic, Languages, Max value, Length of L1, Length of L2, %L1, %L2, Diagonal>=2, Diagonal >=3, Diagonal>=4, Diagonal>=5
Sacra Tunica,it.de,0.6875,35,58,85.71428571428571,51.724137931034484,yes,yes,yes,yes
Sacra Tunica,it.en,0.125,35,53,5.714285714285714,3.7735849056603774,yes,no,no,no
Valerio di Treviri,it.de,0.0,4,3,0.0,0.0,no,no,no,no
Valerio di Treviri,it.en,0.2,4,10,50.0,20.0,yes,no,no,no
Egberto di Treviri,it.de,1.0,10,18,90.0,50.0,yes,yes,yes,yes
Egberto di Treviri,it.fr,0.21052631578947367,10,7,50.0,71.42857142857143,yes,yes,yes,yes
Egberto di Treviri,it.en,0.75,10,9,60.0,66.66666666666666,yes,yes,yes,yes
Gozzelino di Toul,it.fr,0.5714285714285714,6,8,66.66666666666666,50.0,yes,yes,yes,no
Gozzelino di Toul,it.en,0.4,6,7,83.33333333333334,71.42857142857143,yes,yes,no,no
Goerico di Metz,it.fr,1.0,18,20,83.33333333333334,75.0,yes,yes,yes,yes
Goerico di Metz,it.en,0.0,18,12,0.0,0.0,no,no,no,no
Colonna di Igel,it.de,1.0,40,48,85.0,70.83333333333334,yes,yes,yes,yes
Chiesa di Nostra Signora (Treviri),it.de,0.5454545454545454,33,41,90.9090909090909,73.17073170731707,yes,yes,yes,yes
Chiesa di Nostra Signora (Treviri),it.fr,0.0,33,5,0.0,0.0,no,no,no,no
Maiestas Domini,it.de,0.4444444444444444,13,20,84.61538461538461,55.00000000000001,yes,yes,yes,yes
Maiestas Domini,it.en,0.0,13,34,0.0,0.0,no,no,no,no
Aldetrude di Maubeuge,it.de,0.1875,3,11,66.66666666666666,18.181818181818183,yes,no,no,no
Aldetrude di Maubeuge,it.fr,0.0,3,3,0.0,0.0,no,no,no,no
Gerardo di Toul,it.en,0.21052631578947367,16,8,12.5,25.0,yes,no,no,no
Duomo di Treviri,it.de,0.5714285714285714,20,146,65.0,8.904109589041095,yes,yes,yes,yes
Duomo di Treviri,it.en,0.5,20,13,15.0,23.076923076923077,yes,yes,no,no
Materno di Colonia,it.de,0.4375,26,16,30.76923076923077,50.0,yes,yes,yes,yes
Materno di Colonia,it.fr,0.5,26,18,30.76923076923077,44.44444444444444,yes,yes,no,no
Materno di Colonia,it.en,0.14285714285714285,26,12,7.6923076923076925,16.666666666666664,yes,no,no,no
Eucario di Treviri,it.de,0.5454545454545454,6,10,66.66666666666666,40.0,yes,yes,yes,no
Eucario di Treviri,it.en,0.0,6,29,0.0,0.0,no,no,no,no
Massimino di Treviri,it.de,0.8333333333333334,13,16,92.3076923076923,75.0,yes,yes,yes,yes
Massimino di Treviri,it.en,0.4,13,18,30.76923076923077,22.22222222222222,yes,no,no,no
Reinilde di Saints,it.de,0.10344827586206896,7,8,28.57142857142857,25.0,yes,no,no,no
Reinilde di Saints,it.en,0.48,7,17,85.71428571428571,35.294117647058826,yes,yes,yes,yes
