de.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
1,0.25,0.0,0.0,0.10344827586206896,0.0,0.0,0.0,0.0,0.05263157894736842,0.05,0.0,0.045454545454545456,0.0,0.0625,0.030303030303030304,0.0,0.0,0.0,0.043478260869565216,0.05555555555555555,0.045454545454545456,0.0,0.0,0.0,0.03225806451612903,0.02857142857142857,0.0,0.0,0.08,0.0,0.0,0.03571428571428571,0.038461538461538464,0.03571428571428571,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.09523809523809523,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.037037037037037035,0.125,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.18181818181818182,0.16666666666666666,0.0,0.06666666666666667,0.0,0.125,0.08,0.045454545454545456,0.0,0.0,0.3076923076923077,0.03333333333333333,0.14285714285714285,0.0,0.0,0.0,0.13636363636363635,0.07407407407407407,0.0,0.0,0.05263157894736842,0.0,0.0,0.1,0.1111111111111111,0.15789473684210525,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.05,0.16666666666666666,0.0,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.06666666666666667,0.0,0.0,0.0
5,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.04,0.0,0.0,0.034482758620689655,0.0,0.02564102564102564,0.0,0.02702702702702703,0.0,0.0,0.0,0.034482758620689655,0.03225806451612903,0.0,0.037037037037037035,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.03571428571428571,0.08,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.038461538461538464,0.05,0.038461538461538464,0.0,0.045454545454545456,0.041666666666666664,0.037037037037037035,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.12903225806451613,0.11627906976744186,0.0,0.0,0.0,0.0,0.0,0.05714285714285714,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.09375,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0
7,0.023255813953488372,0.030303030303030304,0.0,0.0,0.0,0.0,0.05128205128205128,0.14893617021276595,0.07407407407407407,0.07142857142857142,0.0,0.03225806451612903,0.0,0.023809523809523808,0.04878048780487805,0.0,0.03333333333333333,0.020833333333333332,0.06451612903225806,0.021739130434782608,0.06666666666666667,0.0,0.0,0.0,0.05128205128205128,0.046511627906976744,0.027777777777777776,0.0,0.02857142857142857,0.0,0.027777777777777776,0.08571428571428572,0.09090909090909091,0.02702702702702703,0.0,0.0,0.034482758620689655,0.020833333333333332,0.0,0.0,0.0,0.022222222222222223,0.027777777777777776,0.0,0.0,0.0,0.06,0.05,0.1388888888888889,0.08823529411764706,0.0,0.0,0.02857142857142857,0.0,0.03225806451612903,0.0,0.0,0.0
8,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.07692307692307693,0.05263157894736842,0.0,0.06666666666666667,0.0,0.0,0.0
9,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.09523809523809523,0.0,0.041666666666666664,0.0,0.09090909090909091,0.058823529411764705,0.0,0.0,0.0,0.08333333333333333,0.02564102564102564,0.08695652173913043,0.025,0.045454545454545456,0.0,0.0967741935483871,0.05555555555555555,0.0,0.0,0.03571428571428571,0.0,0.0,0.06896551724137931,0.07407407407407407,0.03333333333333333,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.03571428571428571,0.06976744186046512,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.041666666666666664,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.03225806451612903,0.0,0.03125,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.047619047619047616,0.09523809523809523,0.05,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.05,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.07692307692307693,0.0625,0.058823529411764705,0.047619047619047616,0.05263157894736842,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.027777777777777776,0.05,0.029411764705882353,0.05263157894736842,0.0,0.0,0.0,0.03571428571428571,0.03125,0.0,0.0,0.043478260869565216,0.0,0.0,0.04,0.043478260869565216,0.04,0.043478260869565216,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.030303030303030304,0.0,0.025,0.07142857142857142,0.11538461538461539,0.3157894736842105,0.0,0.058823529411764705,0.09090909090909091,0.0,0.1111111111111111,0.0,0.0,0.0
14,0.09375,0.0,0.0,0.0,0.0,0.047619047619047616,0.03225806451612903,0.0,0.05263157894736842,0.05,0.041666666666666664,0.045454545454545456,0.0,0.0625,0.030303030303030304,0.0,0.0,0.0,0.043478260869565216,0.05555555555555555,0.045454545454545456,0.0,0.0,0.0,0.03225806451612903,0.02857142857142857,0.0,0.0,0.08,0.0,0.0,0.03571428571428571,0.038461538461538464,0.03571428571428571,0.038461538461538464,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.023255813953488372,0.03125,0.0,0.07692307692307693,0.038461538461538464,0.10526315789473684,0.2857142857142857,0.0,0.15,0.0,0.0,0.0
