de.it,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,0.2692307692307692,0.0,0.10526315789473684,0.1111111111111111,0.17142857142857143,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.125,0.04,0.041666666666666664
2,0.03125,0.0,0.0,0.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.04,0.041666666666666664
3,0.03225806451612903,0.0,0.0,0.05555555555555555,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.05,0.0,0.034482758620689655,0.03571428571428571,0.02040816326530612,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.029411764705882353,0.0
5,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.03225806451612903,0.0,0.0,0.05555555555555555,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.04,0.041666666666666664,0.043478260869565216
8,0.09375,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.06666666666666667,0.05,0.0,0.0,0.0,0.0
9,0.05555555555555555,0.0,0.08333333333333333,0.0,0.045454545454545456,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.03333333333333333,0.034482758620689655
10,0.15384615384615385,0.0,0.06451612903225806,0.03225806451612903,0.10416666666666667,0.028985507246376812,0.030303030303030304,0.0,0.024390243902439025,0.0,0.02857142857142857,0.05405405405405406,0.02702702702702703,0.027777777777777776
11,0.037037037037037035,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.03333333333333333,0.0,0.0,0.058823529411764705,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.058823529411764705
14,0.05555555555555555,0.0,0.0,0.08695652173913043,0.022222222222222223,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.03333333333333333,0.0
15,0.08571428571428572,0.047619047619047616,0.0,0.041666666666666664,0.022222222222222223,0.0,0.0,0.0,0.029411764705882353,0.043478260869565216,0.0,0.0,0.0,0.0
16,0.1,0.0,0.0,0.06896551724137931,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.02702702702702703,0.0,0.0
17,0.16666666666666666,0.0,0.0,0.047619047619047616,0.075,0.0,0.0,0.0,0.03225806451612903,0.05,0.04,0.03571428571428571,0.0,0.0
18,0.06976744186046512,0.0,0.0,0.06451612903225806,0.018867924528301886,0.0,0.029411764705882353,0.0,0.0,0.0,0.05714285714285714,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.08108108108108109,0.0,0.07692307692307693,0.038461538461538464,0.09090909090909091,0.015384615384615385,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0
22,0.15384615384615385,0.0,0.058823529411764705,0.13333333333333333,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0
23,0.15555555555555556,0.0,0.05263157894736842,0.05405405405405406,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.022222222222222223,0.022727272727272728,0.023255813953488372
24,0.03571428571428571,0.0,0.0,0.06666666666666667,0.027777777777777776,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.03225806451612903,0.0,0.0,0.05555555555555555,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.1,0.0,0.0,0.1111111111111111,0.025,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.04,0.0
29,0.07407407407407407,0.0,0.13333333333333333,0.0,0.08823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
30,0.17073170731707318,0.0,0.058823529411764705,0.09375,0.09803921568627451,0.0136986301369863,0.0,0.0,0.0,0.0,0.05405405405405406,0.024390243902439025,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.025,0.0,0.0
33,0.06451612903225806,0.0,0.0,0.05263157894736842,0.025,0.0,0.0,0.0,0.034482758620689655,0.05555555555555555,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.02564102564102564,0.043478260869565216,0.037037037037037035,0.038461538461538464,0.02127659574468085,0.0,0.0,0.0,0.0,0.04,0.03333333333333333,0.0,0.0,0.0
36,0.058823529411764705,0.0,0.09090909090909091,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.03225806451612903,0.0,0.0,0.05555555555555555,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.023255813953488372,0.0,0.0,0.03333333333333333,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.027777777777777776,0.0
40,0.05714285714285714,0.0,0.0,0.043478260869565216,0.046511627906976744,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.037037037037037035,0.0,0.0,0.07142857142857142,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0
