it.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
1,0.49852724275079074,0.3233808333817773,0.06063390625908324,0.18190171877724973,0.2656844656620286,0.0,0.34299717028501764,0.21437323142813602,0.13750477455423168,0.21437323142813602,0.15339299776947407,0.0,0.0,0.09513029883089881,0.21693045781865614,0.051708768999501914,0.10846522890932807,0.2291746242570528,0.0,0.1944611170656493,0.3363363969981562,0.054232614454664034,0.10969086361906959,0.0,0.047565149415449405,0.08856148855400951,0.19802950859533486,0.17149858514250882,0.17712297710801903,0.0,0.0,0.0,0.0,0.0,0.0,0.051708768999501914,0.1944611170656493,0.0,0.0,0.16637806616154058,0.0,0.0,0.15512630699850574,0.20683507599800766,0.0,0.051708768999501914,0.09901475429766744,0.0,0.21693045781865614,0.21693045781865614,0.2656844656620286,0.2970442628930023,0.24956709924231088,0.22866478019001174,0.5251050315105037,0.24956709924231088,0.10341753799900383,0.15339299776947407,0.0,0.13719886811400708,0.10341753799900383,0.0,0.25724787771376323,0.30869745325651593,0.2667891875399663,0.17647058823529413,0.07669649888473704,0.2475368857441686,0.10846522890932807,0.2898855178262242,0.06965217230011515
2,0.0,0.07856742013183861,0.4714045207910316,0.0,0.0,0.0,0.0,0.0,0.0890870806374748,0.0,0.0,0.0,0.0,0.0,0.0,0.10050378152592121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10050378152592121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10050378152592121,0.0,0.0,0.0,0.0,0.08606629658238703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04714045207910318,0.057166195047502935,0.0,0.0,0.0,0.0,0.0
3,0.1860521018838127,0.0,0.09805806756909201,0.0,0.1432229748078866,0.0,0.1386750490563073,0.0,0.14824986333222026,0.20801257358446093,0.062017367294604234,0.0,0.0,0.0,0.17541160386140586,0.16724840200141816,0.17541160386140586,0.22237479499833038,0.0,0.10482848367219183,0.21757131728816848,0.0,0.23652495839563303,0.0,0.0,0.0,0.10675210253672476,0.0,0.1432229748078866,0.0,0.0,0.0,0.0,0.0,0.0,0.08362420100070908,0.052414241836095915,0.0,0.0,0.26906911759852503,0.0,0.0,0.12543630150106364,0.16724840200141816,0.0,0.0,0.16012815380508716,0.0,0.17541160386140586,0.17541160386140586,0.1432229748078866,0.16012815380508716,0.13453455879926252,0.18490006540840973,0.22645540682891918,0.13453455879926252,0.0,0.0,0.0,0.22188007849009164,0.16724840200141816,0.0,0.1386750490563073,0.16641005886756874,0.15689290811054726,0.19026059766179762,0.0,0.16012815380508716,0.17541160386140586,0.09376144618769908,0.0
4,0.2581988897471611,0.20412414523193154,0.0,0.0,0.14907119849998599,0.0,0.43301270189221935,0.07216878364870323,0.23145502494313788,0.14433756729740646,0.06454972243679027,0.0,0.0,0.08006407690254358,0.09128709291752768,0.08703882797784893,0.0,0.0,0.0,0.1091089451179962,0.22645540682891918,0.0,0.0,0.0,0.0,0.07453559924999299,0.16666666666666666,0.14433756729740646,0.07453559924999299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1091089451179962,0.0,0.0,0.0,0.0,0.0,0.04351941398892446,0.08703882797784893,0.0,0.0,0.0,0.0,0.09128709291752768,0.09128709291752768,0.14907119849998599,0.16666666666666669,0.140028008402801,0.19245008972987526,0.23570226039551587,0.140028008402801,0.0,0.12909944487358055,0.0,0.0,0.0,0.0,0.14433756729740646,0.11547005383792516,0.12247448713915894,0.04950737714883372,0.0,0.08333333333333334,0.0,0.14638501094227999,0.1172420763521099
5,0.18633899812498247,0.07856742013183861,0.0,0.0,0.08606629658238703,0.0,0.125,0.08333333333333333,0.0445435403187374,0.125,0.037267799624996496,0.0,0.0,0.04622501635210243,0.10540925533894598,0.0,0.10540925533894598,0.1336306209562122,0.10050378152592121,0.0629940788348712,0.1307440900921227,0.0,0.10660035817780522,0.0,0.04622501635210243,0.0,0.09622504486493763,0.08333333333333333,0.08606629658238703,0.10050378152592121,0.08084520834544433,0.13608276348795434,0.0,0.0,0.07453559924999299,0.20100756305184242,0.1259881576697424,0.0,0.0,0.16169041669088866,0.034020690871988585,0.0,0.17588161767036212,0.15075567228888181,0.0,0.0,0.09622504486493763,0.035533452725935076,0.10540925533894598,0.10540925533894598,0.08606629658238703,0.14433756729740643,0.1212678125181665,0.1111111111111111,0.17010345435994295,0.16169041669088866,0.0,0.0,0.0,0.06666666666666667,0.15075567228888181,0.05892556509887895,0.08333333333333333,0.1,0.11785113019775792,0.11433239009500587,0.0,0.09622504486493763,0.10540925533894598,0.14085904245475275,0.11845705259892228
6,0.05307448924342755,0.11189084777289195,0.0,0.0,0.030642570651794796,0.11513473250068082,0.059339082909692704,0.08900862436453905,0.03171807398477758,0.029669541454846352,0.026537244621713776,0.0,0.0,0.03291540093383168,0.037529331252040096,0.0,0.0,0.03171807398477758,0.03578281334822568,0.044856130401625685,0.0698241096173592,0.0,0.0,0.0,0.0,0.030642570651794796,0.022839623660917734,0.059339082909692704,0.06128514130358959,0.03578281334822568,0.0,0.0,0.0,0.0,0.0,0.0,0.24670871720894127,0.10277830647412982,0.14535047493345285,0.028783683125170205,0.024225079155575476,0.0,0.05367422002233852,0.12523984671878988,0.020060271357125996,0.0,0.0,0.02530226996846289,0.037529331252040096,0.037529331252040096,0.06128514130358959,0.034259435491376604,0.028783683125170205,0.039559388606461805,0.07267523746672643,0.028783683125170205,0.03578281334822568,0.37152142470399285,0.0,0.18988506531101665,0.0,0.0,0.14834770727423174,0.04747126632775416,0.08391813582966895,0.1628251002026612,0.0,0.06851887098275321,0.037529331252040096,0.04012054271425199,0.3132984934294924
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08058229640253803,0.0,0.0,0.0,0.0,0.11952286093343936,0.0,0.050507627227610534,0.0,0.0,0.06482037235521644,0.0545544725589981,0.0,0.040291148201269014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06482037235521644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0944911182523068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045175395145262566,0.0
8,0.0,0.0,0.0,0.0,0.0,0.08574929257125441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06681531047810609,0.0,0.0,0.0,0.0,0.0,0.0,0.10660035817780521,0.17928429140015903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4242640687119285,0.0,0.0,0.08838834764831843,0.0,0.0,0.0,0.0,0.0,0.33541019662496846,0.0,0.21538744758532152
9,0.047673129462279605,0.20100756305184242,0.0753778361444409,0.0,0.11009637651263604,0.0,0.0,0.053300179088902604,0.0,0.0,0.09534625892455921,0.0,0.0,0.17739371879672478,0.0,0.0,0.0,0.1709408646894569,0.0,0.0,0.0,0.0,0.045454545454545456,0.0753778361444409,0.0,0.0,0.041030496993110906,0.0,0.0,0.06428243465332249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051708768999501914,0.04351941398892446,0.0,0.032141217326661246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12856486930664499,0.0,0.0,0.04264014327112208,0.0,0.0,0.0,0.08528028654224416,0.030151134457776358,0.036563621206356534,0.09534625892455921,0.06154574548966636,0.0,0.0,0.0
10,0.0,0.07106690545187015,0.10660035817780521,0.10660035817780521,0.0778498944161523,0.0,0.0,0.07537783614444091,0.0,0.0,0.06741998624632421,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.09534625892455924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05698028822981897,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061545745489666376,0.0,0.0,0.0,0.0,0.12060453783110546,0.0,0.0,0.0,0.06030226891555273,0.042640143271122095,0.0,0.0,0.0,0.0,0.0,0.0
