de.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,0.09128709291752768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16012815380508716,0.2182178902359924,0.0,0.0,0.0
3,0.0,0.0,0.1178511301977579,0.2357022603955158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1889822365046136,0.0
4,0.0,0.0,0.09622504486493763,0.19245008972987526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07715167498104597,0.0
5,0.0,0.0,0.1259881576697424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10101525445522107,0.0
6,0.13608276348795434,0.0,0.1111111111111111,0.0,0.09622504486493763,0.0,0.0,0.0,0.0,0.06537204504606135,0.1178511301977579,0.0,0.0,0.0,0.0890870806374748,0.0
7,0.11785113019775793,0.11785113019775793,0.09622504486493763,0.0,0.08333333333333334,0.08006407690254358,0.14433756729740646,0.1091089451179962,0.14433756729740646,0.11322770341445959,0.10206207261596574,0.0,0.0,0.10206207261596574,0.07715167498104597,0.1091089451179962
8,0.0,0.0,0.2519763153394848,0.1259881576697424,0.1091089451179962,0.0,0.0,0.0,0.0,0.29649972666444047,0.0,0.20965696734438366,0.2857142857142857,0.0,0.20203050891044214,0.0
9,0.13608276348795434,0.0,0.0,0.0,0.09622504486493763,0.0,0.0,0.0,0.0,0.1307440900921227,0.1178511301977579,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.20412414523193154,0.16012815380508716,0.0,0.11322770341445959,0.3086066999241838,0.0,0.0,0.0
11,0.0,0.0,0.19245008972987526,0.0,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.08006407690254358,0.4615384615384616,0.0,0.10482848367219183,0.1386750490563073,0.05439282932204212,0.0,0.0,0.10482848367219183,0.09805806756909201,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.08703882797784893,0.08362420100070908,0.0,0.5698028822981898,0.0,0.11826247919781652,0.0,0.0,0.0,0.10660035817780521,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.2886751345948129,0.0,0.5773502691896258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.10206207261596574,0.0,0.0,0.0,0.0,0.1386750490563073,0.12499999999999997,0.294174202707276,0.13363062095621217,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.4364357804719848,0.0,0.0,0.0,0.1889822365046136,0.14824986333222023,0.0,0.10482848367219183,0.857142857142857,0.0,0.20203050891044214,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20965696734438366,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.22645540682891918,0.0,0.0,0.0,0.0,0.0,0.0,0.3086066999241838,0.14433756729740646,0.4364357804719848,0.0
20,0.08006407690254358,0.0,0.0,0.0,0.11322770341445959,0.10878565864408424,0.09805806756909202,0.14824986333222023,0.09805806756909202,0.2692307692307693,0.1386750490563073,0.21757131728816848,0.14824986333222023,0.2773500981126146,0.2620712091804796,0.0
