fr.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,0.36084391824351614,0.0,0.1178511301977579,0.0,0.10206207261596574,0.0,0.0,0.0,0.0,0.06933752452815364,0.12499999999999997,0.0,0.0,0.0,0.0944911182523068,0.0
2,0.034020690871988585,0.0,0.16666666666666666,0.16666666666666666,0.048112522432468816,0.04622501635210243,0.0,0.1259881576697424,0.0,0.06537204504606135,0.0,0.0,0.0,0.05892556509887895,0.1336306209562122,0.0
3,0.0,0.0,0.0,0.0,0.17407765595569785,0.08362420100070908,0.0,0.3418817293789138,0.0,0.17739371879672478,0.0,0.0,0.0,0.10660035817780521,0.0,0.0
4,0.0,0.0,0.19245008972987526,0.09622504486493763,0.08333333333333334,0.08006407690254358,0.14433756729740646,0.2182178902359924,0.14433756729740646,0.11322770341445959,0.0,0.0,0.0,0.10206207261596574,0.07715167498104597,0.0
5,0.0,0.14433756729740646,0.1178511301977579,0.1178511301977579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0944911182523068,0.13363062095621217
6,0.04351941398892446,0.08703882797784893,0.21320071635561044,0.0,0.1846372364689991,0.05913123959890826,0.0,0.08058229640253803,0.0,0.4181210050035454,0.0,0.23652495839563303,0.3223291856101521,0.0753778361444409,0.0,0.0
7,0.0,0.0,0.0,0.0,0.5163977794943222,0.12403473458920847,0.0,0.33806170189140655,0.22360679774997896,0.17541160386140586,0.0,0.0,0.16903085094570328,0.15811388300841897,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0700140042014005,0.06726727939963126,0.0,0.0,0.0,0.19026059766179765,0.0,0.20180183819889375,0.18333969940564224,0.0,0.06482037235521644,0.0
9,0.0,0.0,0.0,0.0,0.09128709291752768,0.0,0.0,0.0,0.0,0.3721042037676254,0.0,0.2631174057921088,0.35856858280031806,0.0,0.0,0.0
10,0.0,0.0,0.1111111111111111,0.0,0.6735753140545634,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.1259881576697424,0.0,0.0,0.0
11,0.09622504486493764,0.0,0.0,0.0,0.13608276348795434,0.3268602252303068,0.0,0.0890870806374748,0.0,0.1386750490563073,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.10482848367219183,0.5669467095138409,0.14285714285714285,0.1889822365046136,0.07412493166611012,0.0,0.0,0.0,0.13363062095621217,0.0,0.0
13,0.12500000000000003,0.0,0.0,0.0,0.11785113019775793,0.056613851707229795,0.0,0.07715167498104596,0.0,0.3202563076101743,0.21650635094610968,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052414241836095915,0.0944911182523068,0.0,0.0,0.0,0.07142857142857142,0.0
15,0.0,0.0,0.19245008972987526,0.06415002990995841,0.05555555555555555,0.0,0.0,0.0,0.0,0.264197974633739,0.0,0.16012815380508716,0.21821789023599236,0.0,0.1543033499620919,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11322770341445959,0.20412414523193148,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.07647191129018724,0.07647191129018724,0.06622661785325219,0.0,0.0,0.0,0.0,0.179968508266339,0.08111071056538126,0.44539933408304444,0.17342199390482396,0.08111071056538126,0.061313933948496574,0.0
18,0.0,0.0,0.0,0.0,0.0,0.09805806756909201,0.0,0.0,0.0,0.0,0.0,0.0,0.5345224838248487,0.0,0.2834733547569204,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12403473458920847,0.0,0.0,0.11952286093343936,0.0
20,0.1118033988749895,0.0,0.06085806194501846,0.06085806194501846,0.21081851067789195,0.10127393670836667,0.0,0.13801311186847084,0.0,0.3938631807216881,0.06454972243679027,0.25318484177091666,0.2760262237369417,0.19364916731037085,0.2439750182371333,0.0
21,0.0,0.0,0.0,0.0,0.0,0.12403473458920847,0.0,0.16903085094570328,0.0,0.08770580193070293,0.0,0.0,0.0,0.15811388300841897,0.0,0.5070925528371099
22,0.0,0.0,0.0,0.0,0.10206207261596574,0.0,0.0,0.0,0.0,0.2773500981126146,0.0,0.19611613513818402,0.26726124191242434,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5669467095138409
