it.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0.16666666666666666,0.0625,0.07692307692307693,0.058823529411764705,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.041666666666666664,0.1,0.0,0.0
2,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.2413793103448276,0.14285714285714285,0.17647058823529413,0.06666666666666667,0.043478260869565216,0.18181818181818182,0.0,0.0,0.0,0.04,0.07142857142857142,0.03571428571428571,0.0,0.03571428571428571,0.0,0.038461538461538464,0.0,0.0,0.08,0.08333333333333333,0.0,0.0
4,0.0,0.029411764705882353,0.25,0.05555555555555555,0.07142857142857142,0.09523809523809523,0.09090909090909091,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.04,0.2,0.0,0.0
5,0.0,0.05714285714285714,0.0625,0.5,0.0,0.13636363636363635,0.07692307692307693,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.07692307692307693,0.0625,0.0
6,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0
7,0.0,0.022727272727272728,0.041666666666666664,0.03571428571428571,0.0,0.2692307692307692,0.047619047619047616,0.14814814814814814,0.043478260869565216,0.09523809523809523,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.0
8,0.0,0.046511627906976744,0.08695652173913043,0.07407407407407407,0.0,0.06451612903225806,0.29411764705882354,0.0,0.043478260869565216,0.2777777777777778,0.25,0.043478260869565216,0.02702702702702703,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.02857142857142857,0.047619047619047616,0.0,0.0
9,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.034482758620689655,0.041666666666666664,0.1111111111111111,0.0625,0.0,0.05555555555555555,0.08,0.0,0.0,0.0,0.08108108108108109,0.03571428571428571,0.43333333333333335,0.058823529411764705,0.0,0.041666666666666664,0.0,0.0,0.0,0.05128205128205128,0.038461538461538464,0.0,0.0
11,0.02631578947368421,0.07272727272727272,0.02631578947368421,0.075,0.02631578947368421,0.044444444444444446,0.02857142857142857,0.046511627906976744,0.11764705882352941,0.0,0.06521739130434782,0.0,0.08333333333333333,0.21621621621621623,0.3,0.030303030303030304,0.06382978723404255,0.0,0.0,0.08695652173913043,0.0,0.11428571428571428,0.0
12,0.0,0.02564102564102564,0.0,0.043478260869565216,0.05263157894736842,0.07692307692307693,0.0,0.08333333333333333,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.4090909090909091,0.0,0.0,0.10714285714285714,0.0,0.1111111111111111,0.0
13,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.3333333333333333,0.13333333333333333,0.03333333333333333,0.0,0.0,0.0
14,0.08695652173913043,0.046511627906976744,0.041666666666666664,0.07407407407407407,0.041666666666666664,0.06451612903225806,0.047619047619047616,0.03333333333333333,0.043478260869565216,0.0,0.029411764705882353,0.043478260869565216,0.02702702702702703,0.0,0.05555555555555555,0.0,0.09090909090909091,0.0,0.0,0.5652173913043478,0.047619047619047616,0.041666666666666664,0.0
15,0.0,0.025,0.0,0.041666666666666664,0.10526315789473684,0.07407407407407407,0.0,0.08,0.1111111111111111,0.0,0.0,0.0,0.0,0.08,0.0967741935483871,0.0,0.10344827586206896,0.0,0.0,0.10344827586206896,0.2,0.5,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75
