it.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,0.6071428571428571,0.11538461538461539,0.0,0.07407407407407407,0.17647058823529413,0.125,0.28125,0.1724137931034483,0.07407407407407407,0.08823529411764706,0.06779661016949153,0.05555555555555555,0.10526315789473684,0.05555555555555555,0.047619047619047616,0.0,0.0,0.09302325581395349,0.10526315789473684
2,0.034482758620689655,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.0,0.02127659574468085,0.0,0.0,0.0,0.07407407407407407,0.0,0.0,0.06666666666666667,0.08
3,0.2413793103448276,0.1111111111111111,0.0,0.1111111111111111,0.55,0.16129032258064516,0.28,0.08695652173913043,0.08888888888888889,0.07692307692307693,0.08,0.06666666666666667,0.06451612903225806,0.03571428571428571,0.06060606060606061,0.0,0.0,0.08571428571428572,0.1
4,0.15384615384615385,0.0,0.0,0.07692307692307693,0.13636363636363635,0.5789473684210527,0.18181818181818182,0.0,0.023809523809523808,0.0,0.02127659574468085,0.0,0.038461538461538464,0.09523809523809523,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.05263157894736842
6,0.25,0.0,0.02702702702702703,0.030303030303030304,0.18421052631578946,0.13636363636363635,0.3939393939393939,0.14705882352941177,0.06779661016949153,0.05,0.0625,0.08771929824561403,0.06818181818181818,0.04878048780487805,0.020833333333333332,0.0,0.0,0.061224489795918366,0.14634146341463414
7,0.02702702702702703,0.0,0.0,0.047619047619047616,0.0,0.02702702702702703,0.0,0.0,0.02,0.07142857142857142,0.037037037037037035,0.041666666666666664,0.029411764705882353,0.0,0.0,0.0,0.0,0.05263157894736842,0.06060606060606061
8,0.09090909090909091,0.0,0.0,0.0,0.11764705882352941,0.0,0.1111111111111111,0.18181818181818182,0.05714285714285714,0.14285714285714285,0.05,0.058823529411764705,0.10526315789473684,0.0,0.0,0.0,0.0,0.08333333333333333,0.10526315789473684
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.02040816326530612,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.043478260869565216,0.0,0.0,0.0,0.04878048780487805,0.0,0.047619047619047616,0.05714285714285714,0.7428571428571429,0.05263157894736842,0.047619047619047616,0.034482758620689655,0.07142857142857142,0.025,0.06818181818181818,0.025,0.029411764705882353,0.06382978723404255,0.07142857142857142
12,0.04950495049504951,0.0,0.021739130434782608,0.011235955056179775,0.052083333333333336,0.019230769230769232,0.030303030303030304,0.03260869565217391,0.05309734513274336,0.07692307692307693,0.2653061224489796,0.2826086956521739,0.019801980198019802,0.0,0.039603960396039604,0.0,0.0,0.06930693069306931,0.04040404040404041
