it.fr,1,2,3,4,5,6,7,8,9,10,11,12
1,0.6249999999999999,0.10206207261596574,0.33129457822453967,0.07216878364870323,0.08333333333333333,0.20833333333333334,0.0,0.10400628679223047,0.03768891807222045,0.05590169943749474,0.1613743060919757,0.0
2,0.10660035817780521,0.08703882797784893,0.09417632186960223,0.12309149097933275,0.0,0.07106690545187015,0.10050378152592121,0.05913123959890826,0.06428243465332249,0.0,0.0,0.0
3,0.34299717028501764,0.140028008402801,0.2272662057235711,0.09901475429766744,0.05716619504750295,0.17149858514250885,0.0,0.09513029883089882,0.051708768999501914,0.0,0.1328422328310143,0.0
4,0.23717082451262844,0.0,0.06984302957695783,0.0,0.26352313834736496,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.3086066999241838,0.0,0.0,0.0,0.07412493166611012,0.0,0.0,0.0,0.0
6,0.4522670168666455,0.09231861823449956,0.4661490107484189,0.0,0.07537783614444092,0.22613350843332275,0.0,0.14634235175124088,0.045454545454545456,0.033709993123162106,0.17516226243634267,0.03768891807222046
7,0.03768891807222045,0.0,0.1331854316424054,0.0,0.10050378152592121,0.0,0.07106690545187015,0.0,0.09090909090909091,0.0674199862463242,0.0778498944161523,0.0
8,0.23717082451262844,0.0,0.2793721183078313,0.0,0.0,0.21081851067789195,0.0,0.08770580193070293,0.0,0.0,0.1632993161855452,0.0
9,0.0,0.14433756729740646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.147087101353638,0.16012815380508716,0.12994442454726302,0.0,0.06537204504606135,0.0,0.09245003270420486,0.0,0.11826247919781652,0.17541160386140586,0.0,0.0
11,0.09847982464479191,0.0,0.11600295811314834,0.07580980435789035,0.08753762190648172,0.43768810953240855,0.061898446059017294,0.10925355610938448,0.0791807582464896,0.0,0.10170952554312156,0.0
12,0.29348392204684737,0.18257418583505539,0.43213169853419553,0.032274861218395144,0.09316949906249125,0.20497289793748077,0.0,0.3721042037676254,0.26967994498529685,0.125,0.43301270189221935,0.0
