it.fr,1,2,3,4,5,6,7,8,9,10,11,12
1,0.40540540540540543,0.05555555555555555,0.12,0.03225806451612903,0.047619047619047616,0.07317073170731707,0.0,0.0425531914893617,0.02127659574468085,0.02857142857142857,0.05660377358490566,0.0
2,0.05714285714285714,0.045454545454545456,0.05128205128205128,0.0625,0.0,0.03571428571428571,0.05263157894736842,0.030303030303030304,0.03125,0.0,0.0,0.0
3,0.19444444444444445,0.07407407407407407,0.09302325581395349,0.045454545454545456,0.029411764705882353,0.09375,0.0,0.05263157894736842,0.02631578947368421,0.0,0.06818181818181818,0.0
4,0.12121212121212122,0.0,0.025,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0
6,0.2127659574468085,0.04878048780487805,0.22,0.0,0.06521739130434782,0.06521739130434782,0.0,0.058823529411764705,0.019230769230769232,0.025,0.07017543859649122,0.02631578947368421
7,0.022727272727272728,0.0,0.06521739130434782,0.0,0.05714285714285714,0.0,0.037037037037037035,0.0,0.05128205128205128,0.03571428571428571,0.020833333333333332,0.0
8,0.06896551724137931,0.0,0.06060606060606061,0.0,0.0,0.09523809523809523,0.0,0.037037037037037035,0.0,0.0,0.06060606060606061,0.0
9,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.05405405405405406,0.08695652173913043,0.04878048780487805,0.0,0.03333333333333333,0.0,0.047619047619047616,0.0,0.06060606060606061,0.09523809523809523,0.0,0.0
11,0.03773584905660377,0.0,0.03508771929824561,0.029411764705882353,0.044444444444444446,0.2702702702702703,0.02702702702702703,0.061224489795918366,0.04081632653061224,0.0,0.05357142857142857,0.0
12,0.0660377358490566,0.05319148936170213,0.11428571428571428,0.010869565217391304,0.019417475728155338,0.029411764705882353,0.0,0.14583333333333334,0.11224489795918367,0.05434782608695652,0.25806451612903225,0.0
