it.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4542199791661352,0.12649110640673517,0.0,0.3333333333333333,0.08164965809277261,0.11094003924504582,0.08944271909999159,0.06324555320336758,0.0,0.06575959492214292,0.10327955589886446
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054073807043587524,0.7378647873726218,0.2519763153394848,0.2222222222222222,0.0,0.09245003270420486,0.0,0.0,0.0,0.0547996624351191,0.08606629658238708
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8017837257372731,0.2357022603955158,0.0,0.0,0.0,0.0,0.0,0.11624763874381928,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13006649542861803,0.08451542547285165,0.40406101782088427,0.8017837257372732,0.0,0.07412493166611013,0.0,0.08451542547285165,0.0,0.08787495503274938,0.06900655593423544
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054073807043587524,0.10540925533894598,0.0,0.1111111111111111,0.0,0.7396002616336389,0.0,0.10540925533894598,0.0,0.0547996624351191,0.12909944487358063
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28284271247461895,0.0,0.0,0.05198752449100364,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061313933948496595,0.0,0.0,0.1259881576697424,0.0,0.0,0.0,0.47809144373375745,0.0,0.0,0.09759000729485336
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8017837257372731,0.062136976600120006,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2913582733740326,0.0,0.13576884666042613,0.05986843400892498,0.0,0.09962709627734359,0.0,0.05679618342470648,0.06350006350009525,0.6791193846611164,0.16230861351605894
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030123761656438906,0.0,0.0,0.0,0.0,0.20601048104984193,0.08304547985373997,0.11744404390294069,0.0,0.06105625108726636,0.4315169713368458
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2294157338705618,0.11180339887498948,0.0,0.05892556509887895,0.0,0.19611613513818402,0.15811388300841897,0.16770509831248423,0.0,0.11624763874381928,0.41079191812887467
