de.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
1,0.19867985355975656,0.0,0.6917144638660746,0.0,0.0,0.11846977555181847,0.2703690352179376,0.14350946197048195,0.11470786693528087,0.2051956704170308,0.05923488777590923,0.07254762501100116,0.0,0.16222142113076252,0.20277677641345312,0.06362847629757777,0.1873171623163388,0.29319773580418684,0.0,0.0,0.0,0.0,0.0,0.0,0.2051956704170308,0.0,0.0,0.0,0.0,0.13245323570650439,0.0,0.0,0.0,0.09782319760890368
2,0.0,0.0,0.0,0.41247895569215276,0.0,0.0,0.0,0.0,0.0,0.0,0.06454972243679027,0.0,0.0,0.0,0.0,0.0,0.0,0.09128709291752768,0.0,0.0,0.11785113019775793,0.4166666666666667,0.15811388300841897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.3872983346207417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.07453559924999299,0.0,0.1556997888323046,0.0,0.1951800145897066,0.06666666666666665,0.06085806194501846,0.05383819020581655,0.06454972243679027,0.11547005383792514,0.0,0.0,0.0,0.09128709291752767,0.04564354645876383,0.0716114874039433,0.10540925533894598,0.09428090415820634,0.0,0.0,0.0,0.0,0.0,0.0,0.11547005383792514,0.06085806194501846,0.0,0.0,0.0,0.07453559924999299,0.0,0.0716114874039433,0.12909944487358055,0.11009637651263604
5,0.0,0.0,0.1556997888323046,0.0,0.0975900072948533,0.0,0.12171612389003691,0.0,0.0,0.0,0.0,0.0816496580927726,0.0,0.0,0.13693063937629152,0.0,0.0,0.1414213562373095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.2182178902359924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.19364916731037085,0.0,0.47193990372426947,0.0,0.0,0.11547005383792514,0.4216370213557839,0.09325048082403138,0.11180339887498948,0.19999999999999996,0.0,0.0,0.0,0.15811388300841897,0.1976423537605237,0.062017367294604234,0.18257418583505536,0.24494897427831777,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,0.0,0.0,0.0,0.0,0.12909944487358055,0.0,0.0,0.0,0.09534625892455921
8,0.28867513459481287,0.0,0.40201512610368484,0.0,0.0,0.3442651863295481,0.31426968052735443,0.20851441405707477,0.16666666666666666,0.29814239699997197,0.08606629658238703,0.21081851067789195,0.0,0.2357022603955158,0.29462782549439476,0.0,0.13608276348795434,0.42600643361512924,0.0,0.0,0.0,0.0,0.0,0.0,0.14907119849998599,0.0,0.0,0.0,0.0,0.09622504486493763,0.0,0.0,0.0,0.07106690545187015
9,0.0,0.0,0.0,0.0,0.0,0.0716114874039433,0.0,0.0,0.0,0.0,0.0,0.2631174057921088,0.0,0.0,0.0,0.0,0.0,0.0,0.11322770341445959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17541160386140586,0.0,0.0,0.038461538461538464,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30151134457776363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2461829819586655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.10206207261596574,0.0,0.0,0.0,0.13363062095621217,0.09128709291752767,0.08333333333333333,0.07372097807744857,0.08838834764831843,0.0,0.18257418583505533,0.22360679774997896,0.0,0.37499999999999994,0.12499999999999997,0.09805806756909201,0.0,0.12909944487358055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0753778361444409
13,0.2182178902359924,0.0,0.2279211529192759,0.0,0.0,0.0975900072948533,0.0890870806374748,0.07881104062391006,0.0944911182523068,0.16903085094570328,0.0,0.0,0.0,0.26726124191242434,0.33407655239053047,0.0,0.1543033499620919,0.20701966780270625,0.0,0.0,0.0,0.0,0.11952286093343936,0.0,0.16903085094570328,0.0,0.0,0.0,0.0,0.1091089451179962,0.0,0.0,0.0,0.08058229640253803
14,0.0,0.0,0.2279211529192759,0.0,0.0,0.0,0.1781741612749496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26726124191242434,0.0,0.0,0.20701966780270625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.25000000000000006,0.0,0.26111648393354675,0.0,0.1091089451179962,0.07453559924999299,0.06804138174397717,0.06019292654288461,0.07216878364870323,0.12909944487358055,0.0,0.0,0.0,0.20412414523193148,0.05103103630798287,0.4803844614152615,0.11785113019775793,0.21081851067789195,0.0,0.0,0.0,0.0,0.0,0.0,0.12909944487358055,0.06804138174397717,0.0,0.0,0.0,0.08333333333333334,0.0,0.0,0.0,0.12309149097933272
16,0.24077170617153845,0.0,0.3143473067309658,0.0,0.0,0.16151457061744964,0.19658927487319622,0.13043478260869568,0.1563858105428061,0.18650096164806276,0.05383819020581655,0.1318760946791574,0.06286946134619316,0.2211629342323457,0.14744195615489714,0.23132597278649614,0.3405026123034995,0.4568321925761286,0.0,0.0,0.0,0.0,0.0,0.0,0.18650096164806276,0.0,0.0,0.0,0.0,0.12038585308576923,0.0,0.0,0.0,0.1333662673423161
17,0.11785113019775793,0.0,0.12309149097933275,0.0,0.0,0.0,0.09622504486493764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07216878364870323,0.0,0.0,0.0,0.16666666666666669,0.0,0.1924500897298753,0.0,0.0,0.0,0.0,0.1924500897298753,0.2721655269759087,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.2886751345948129,0.0,0.0,0.0,0.0,0.2581988897471611,0.11785113019775793,0.20851441405707477,0.125,0.0,0.12909944487358055,0.31622776601683794,0.0,0.17677669529663687,0.17677669529663687,0.1386750490563073,0.0,0.27386127875258304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.07856742013183861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10540925533894598,0.0,0.0,0.0,0.0,0.13608276348795434,0.0,0.13608276348795434,0.0,0.0,0.0,0.10540925533894598,0.0,0.0,0.0,0.0,0.16666666666666666,0.10540925533894598,0.0,0.0,0.09245003270420486,0.0,0.0
20,0.06019292654288461,0.1978141420187361,0.06286946134619316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05383819020581655,0.0,0.0,0.0,0.036860489038724284,0.0,0.0,0.0,0.08512565307587487,0.0,0.049147318718299055,0.0,0.0,0.0,0.0,0.0,0.06950480468569159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.05892556509887897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06933752452815364,0.0,0.09128709291752768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03466876226407682,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.055555555555555566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04303314829119352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032686022523030676,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09128709291752768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17677669529663687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.08703882797784893,0.0,0.18181818181818182,0.0,0.11396057645963795,0.0778498944161523,0.07106690545187015,0.06286946134619316,0.07537783614444091,0.13483997249264842,0.0,0.0,0.0,0.10660035817780521,0.053300179088902604,0.08362420100070908,0.12309149097933275,0.3302891295379082,0.0,0.0,0.07106690545187015,0.0,0.0,0.0,0.13483997249264842,0.07106690545187015,0.0,0.0,0.0,0.08703882797784893,0.0,0.04181210050035454,0.0,0.12856486930664499
28,0.08703882797784893,0.0,0.18181818181818182,0.0,0.0,0.0778498944161523,0.07106690545187015,0.06286946134619316,0.07537783614444091,0.13483997249264842,0.0,0.09534625892455924,0.09090909090909091,0.10660035817780521,0.053300179088902604,0.0,0.12309149097933275,0.11009637651263607,0.36927447293799825,0.36927447293799825,0.07106690545187015,0.0,0.0,0.0,0.13483997249264842,0.0,0.0,0.0,0.09534625892455924,0.08703882797784893,0.0,0.04181210050035454,0.0,0.06428243465332249
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06900655593423542,0.1543033499620919,0.1543033499620919,0.3563483225498992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.12038585308576923,0.0,0.18860838403857946,0.2948839123097943,0.0,0.05383819020581655,0.049147318718299055,0.04347826086956522,0.05212860351426869,0.09325048082403138,0.0,0.0,0.0,0.07372097807744857,0.07372097807744857,0.0,0.08512565307587487,0.0761386987626881,0.08512565307587487,0.0,0.2948839123097943,0.34752402342845795,0.0659380473395787,0.0,0.18650096164806276,0.049147318718299055,0.13900960937138318,0.0,0.0659380473395787,0.12038585308576923,0.0,0.0,0.0,0.044455422447438706
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07905694150420949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28284271247461895,0.0,0.0,0.0,0.0,0.0,0.14142135623730948,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.13608276348795434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23570226039551587,0.0,0.0,0.0,0.0,0.0,0.5477225575051661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12309149097933272
33,0.0,0.0,0.0,0.23570226039551587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31622776601683794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10540925533894598,0.0,0.0,0.2581988897471611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.12909944487358055,0.0,0.26967994498529685,0.0,0.0,0.11547005383792514,0.10540925533894598,0.09325048082403138,0.11180339887498948,0.19999999999999996,0.0,0.0,0.0,0.15811388300841897,0.07905694150420949,0.0,0.18257418583505536,0.1632993161855452,0.18257418583505536,0.0,0.0,0.0,0.0,0.0,0.7999999999999998,0.0,0.0,0.0,0.0,0.2581988897471611,0.0,0.0,0.0,0.09534625892455921
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09128709291752768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21081851067789195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.06741998624632421,0.05270462766947299,0.0,0.0,0.05270462766947299,0.0,0.05590169943749474,0.0,0.0,0.0,0.0,0.0,0.03952847075210474,0.0,0.0,0.0408248290463863,0.0,0.0,0.05270462766947299,0.0,0.0,0.0,0.0,0.3689323936863109,0.07453559924999299,0.0,0.0,0.0,0.0,0.031008683647302117,0.11180339887498948,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.10540925533894598,0.0,0.0,0.0,0.0,0.0,0.0,0.15811388300841897,0.15811388300841897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14142135623730948,0.0,0.0,0.10540925533894598,0.14907119849998599,0.0,0.0,0.0,0.0,0.0,0.0,0.0
