Topic, Languages, Maximum value, Length of L1, Length of L2, %L1, %L2, Diagonal>=2, Diagonal >=3, Diagonal>=4, Diagonal>=5
Caproni Ca.73,de.it,0.3903600291794132,16,3,12.5,66.66666666666666,yes,no,no,no
Caproni Ca.73,de.fr,0.48795003647426655,16,5,12.5,40.0,yes,no,no,no
Caproni Ca.73,de.en,0.0,16,6,0.0,0.0,no,no,no,no
Caproni Ca.73,it.fr,0.0,3,5,0.0,0.0,no,no,no,no
Caproni Ca.73,it.en,0.0,3,6,0.0,0.0,no,no,no,no
Caproni Ca.73,fr.en,0.0,5,6,0.0,0.0,no,no,no,no
Fiat G.12,de.it,0.4338609156373123,54,14,9.25925925925926,28.57142857142857,yes,yes,no,no
Fiat G.12,de.fr,0.5144957554275265,54,71,37.03703703703704,42.25352112676056,yes,yes,yes,no
Fiat G.12,de.en,0.4364357804719848,54,8,12.962962962962962,37.5,yes,yes,no,no
Fiat G.12,it.fr,0.512989176042577,14,71,50.0,11.267605633802818,yes,yes,no,no
Fiat G.12,it.en,0.33275613232308116,14,8,14.285714285714285,25.0,yes,no,no,no
Fiat G.12,fr.en,0.33968311024337877,71,8,8.450704225352112,37.5,yes,yes,no,no
Alfa Romeo Stelvio,fr.en,0.0,9,2,0.0,0.0,no,no,no,no
Fiat A.80,de.it,0.6581451817144176,9,9,22.22222222222222,22.22222222222222,yes,no,no,no
Fiat A.80,de.fr,0.4763305116224668,9,14,22.22222222222222,14.285714285714285,yes,no,no,no
Fiat A.80,de.en,0.0,9,2,0.0,0.0,no,no,no,no
Fiat A.80,it.fr,0.5070925528371099,9,14,22.22222222222222,14.285714285714285,yes,no,no,no
Fiat A.80,it.en,0.0,9,2,0.0,0.0,no,no,no,no
Fiat A.80,fr.en,0.0,14,2,0.0,0.0,no,no,no,no
Ala Littoria,de.it,0.0,16,9,0.0,0.0,no,no,no,no
Ala Littoria,de.fr,0.29411764705882354,16,8,12.5,25.0,yes,no,no,no
Ala Littoria,de.en,0.7001400420140049,16,9,12.5,22.22222222222222,yes,no,no,no
Ala Littoria,it.fr,0.7058823529411765,9,8,33.33333333333333,37.5,yes,yes,no,no
Ala Littoria,it.en,0.0,9,9,0.0,0.0,no,no,no,no
Ala Littoria,fr.en,0.0,8,9,0.0,0.0,no,no,no,no
Giuseppe Merosi,de.it,0.5303300858899106,20,16,30.0,31.25,yes,no,no,no
Giuseppe Merosi,de.fr,0.6804138174397718,20,23,55.00000000000001,52.17391304347826,yes,yes,yes,yes
Giuseppe Merosi,de.en,1.0,20,16,40.0,43.75,yes,yes,yes,yes
Giuseppe Merosi,it.fr,0.8660254037844387,16,23,75.0,56.52173913043478,yes,yes,yes,yes
Giuseppe Merosi,it.en,0.5604485383178051,16,16,50.0,50.0,yes,yes,yes,no
Giuseppe Merosi,fr.en,0.6735753140545634,23,16,30.434782608695656,37.5,yes,no,no,no
King Long,de.it,0.7112867591590193,63,12,14.285714285714285,66.66666666666666,yes,yes,no,no
King Long,de.fr,0.5653337710833067,63,12,20.634920634920633,41.66666666666667,yes,yes,no,no
King Long,de.en,0.5969620057957091,63,19,11.11111111111111,47.368421052631575,yes,yes,yes,no
King Long,it.fr,0.43768810953240855,12,12,16.666666666666664,16.666666666666664,yes,no,no,no
King Long,it.en,0.8534918135881966,12,19,41.66666666666667,31.57894736842105,yes,yes,no,no
King Long,fr.en,0.7214084193623483,12,19,33.33333333333333,21.052631578947366,yes,no,no,no
CANT Z.1007,de.it,0.46188021535170054,19,69,47.368421052631575,17.391304347826086,yes,yes,yes,yes
CANT Z.1007,de.fr,0.5869391856534221,19,58,57.89473684210527,22.413793103448278,yes,yes,no,no
CANT Z.1007,de.en,0.4082482904638631,19,138,84.21052631578947,26.08695652173913,yes,yes,no,no
CANT Z.1007,it.fr,0.8693182879212227,69,58,68.11594202898551,82.75862068965517,yes,yes,yes,yes
CANT Z.1007,it.en,1.0,69,138,66.66666666666666,49.275362318840585,yes,yes,yes,yes
CANT Z.1007,fr.en,0.7302967433402214,58,138,58.620689655172406,47.10144927536232,yes,yes,yes,yes
Avio Linee Italiane,de.it,0.26726124191242434,14,7,35.714285714285715,57.14285714285714,yes,no,no,no
Avio Linee Italiane,de.fr,0.4622501635210243,14,14,28.57142857142857,28.57142857142857,yes,no,no,no
Avio Linee Italiane,de.en,0.5892556509887896,14,19,28.57142857142857,10.526315789473683,yes,no,no,no
