Topic, Languages, Maximum value, Length of L1, Length of L2, %L1, %L2, Diagonal>=2, Diagonal >=3, Diagonal>=4, Diagonal>=5
Caproni Ca.73,de.it,0.2222222222222222,16,3,12.5,66.66666666666666,yes,no,no,no
Caproni Ca.73,de.fr,0.29411764705882354,16,5,12.5,40.0,yes,no,no,no
Caproni Ca.73,de.en,0.0,16,6,0.0,0.0,no,no,no,no
Caproni Ca.73,it.fr,0.0,3,5,0.0,0.0,no,no,no,no
Caproni Ca.73,it.en,0.0,3,6,0.0,0.0,no,no,no,no
Caproni Ca.73,fr.en,0.0,5,6,0.0,0.0,no,no,no,no
Fiat G.12,de.it,0.13333333333333333,54,14,12.962962962962962,35.714285714285715,yes,yes,no,no
Fiat G.12,de.fr,0.23076923076923078,54,71,35.18518518518518,30.985915492957744,yes,yes,yes,no
Fiat G.12,de.en,0.16666666666666666,54,8,3.7037037037037033,37.5,yes,no,no,no
Fiat G.12,it.fr,0.3076923076923077,14,71,42.857142857142854,9.859154929577464,yes,no,no,no
Fiat G.12,it.en,0.0,14,8,0.0,0.0,no,no,no,no
Fiat G.12,fr.en,0.2,71,8,9.859154929577464,37.5,yes,yes,no,no
Alfa Romeo Stelvio,fr.en,0.0,9,2,0.0,0.0,no,no,no,no
Fiat A.80,de.it,0.5625,9,9,22.22222222222222,22.22222222222222,yes,no,no,no
Fiat A.80,de.fr,0.0,9,14,0.0,0.0,no,no,no,no
Fiat A.80,de.en,0.0,9,2,0.0,0.0,no,no,no,no
Fiat A.80,it.fr,0.3333333333333333,9,14,22.22222222222222,14.285714285714285,yes,no,no,no
Fiat A.80,it.en,0.0,9,2,0.0,0.0,no,no,no,no
Fiat A.80,fr.en,0.0,14,2,0.0,0.0,no,no,no,no
Ala Littoria,de.it,0.0,16,9,0.0,0.0,no,no,no,no
Ala Littoria,de.fr,0.0,16,8,0.0,0.0,no,no,no,no
Ala Littoria,de.en,0.5294117647058824,16,9,12.5,22.22222222222222,yes,no,no,no
Ala Littoria,it.fr,0.5454545454545454,9,8,33.33333333333333,37.5,yes,yes,no,no
Ala Littoria,it.en,0.0,9,9,0.0,0.0,no,no,no,no
Ala Littoria,fr.en,0.0,8,9,0.0,0.0,no,no,no,no
Giuseppe Merosi,de.it,0.3333333333333333,20,16,30.0,31.25,yes,no,no,no
Giuseppe Merosi,de.fr,0.375,20,23,50.0,43.47826086956522,yes,yes,yes,yes
Giuseppe Merosi,de.en,1.0,20,16,30.0,31.25,yes,yes,yes,yes
Giuseppe Merosi,it.fr,0.75,16,23,75.0,56.52173913043478,yes,yes,yes,yes
Giuseppe Merosi,it.en,0.3888888888888889,16,16,50.0,50.0,yes,yes,yes,yes
Giuseppe Merosi,fr.en,0.375,23,16,30.434782608695656,43.75,yes,yes,yes,no
King Long,de.it,0.5,63,12,6.349206349206349,41.66666666666667,yes,no,no,no
King Long,de.fr,0.3125,63,12,25.396825396825395,50.0,yes,yes,yes,no
King Long,de.en,0.35,63,19,12.698412698412698,36.84210526315789,yes,yes,yes,no
King Long,it.fr,0.0,12,12,0.0,0.0,no,no,no,no
King Long,it.en,0.5789473684210527,12,19,25.0,15.789473684210526,yes,yes,no,no
King Long,fr.en,0.0,12,19,0.0,0.0,no,no,no,no
CANT Z.1007,de.it,0.3,19,69,42.10526315789473,13.043478260869565,yes,yes,no,no
CANT Z.1007,de.fr,0.375,19,58,42.10526315789473,22.413793103448278,yes,yes,no,no
CANT Z.1007,de.en,0.23529411764705882,19,138,78.94736842105263,18.84057971014493,yes,yes,no,no
CANT Z.1007,it.fr,0.76,69,58,57.971014492753625,65.51724137931035,yes,yes,yes,yes
CANT Z.1007,it.en,1.0,69,138,60.86956521739131,36.95652173913043,yes,yes,yes,yes
CANT Z.1007,fr.en,0.5714285714285714,58,138,56.896551724137936,34.05797101449276,yes,yes,yes,yes
Avio Linee Italiane,de.it,0.125,14,7,14.285714285714285,28.57142857142857,yes,no,no,no
Avio Linee Italiane,de.fr,0.29411764705882354,14,14,14.285714285714285,14.285714285714285,yes,no,no,no
Avio Linee Italiane,de.en,0.38461538461538464,14,19,28.57142857142857,10.526315789473683,yes,no,no,no
Avio Linee Italiane,it.fr,0.22727272727272727,7,14,42.857142857142854,14.285714285714285,yes,no,no,no
Avio Linee Italiane,it.en,0.0,7,19,0.0,0.0,no,no,no,no
Avio Linee Italiane,fr.en,1.0,14,19,28.57142857142857,21.052631578947366,yes,yes,yes,no
URSS W6 OSOAVIAKHIM,de.it,0.4666666666666667,52,36,51.92307692307693,66.66666666666666,yes,yes,yes,yes
