de.it,1,2,3,4,5,6,7,8,9
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.09375,0.0,0.03636363636363636,0.0,0.0,0.016666666666666666,0.05405405405405406,0.0,0.05555555555555555
3,0.07142857142857142,0.0,0.0196078431372549,0.0,0.027777777777777776,0.037037037037037035,0.0625,0.0,0.03125
4,0.0,0.0,0.024390243902439025,0.0,0.0,0.045454545454545456,0.0,0.0,0.0
5,0.0,0.0,0.025,0.0,0.04,0.022727272727272728,0.0,0.0,0.0
6,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.09259259259259259,0.0,0.0125,0.058823529411764705,0.03125,0.0625,0.03278688524590164,0.0,0.05084745762711865
8,0.058823529411764705,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0
9,0.10526315789473684,0.0,0.04878048780487805,0.0,0.0,0.044444444444444446,0.08695652173913043,0.0,0.09090909090909091
10,0.16666666666666666,0.0,0.04878048780487805,0.0,0.0,0.021739130434782608,0.08695652173913043,0.0,0.09090909090909091
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.05,0.0,0.0,0.0625,0.037037037037037035,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.08,0.0,0.06521739130434782,0.02564102564102564,0.0,0.0392156862745098,0.14814814814814814,0.06060606060606061,0.07142857142857142
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
