de.en,1,2,3,4,5,6
1,0.07715167498104597,0.0,0.0,0.0,0.08006407690254358,0.0
2,0.0,0.0,0.06388765649999399,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.10846522890932808,0.0,0.0,0.0,0.0
5,0.0,0.29250896965085227,0.0,0.0,0.0,0.0
6,0.06299407883487121,0.0,0.03984095364447979,0.11785113019775793,0.0,0.05270462766947299
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.22237479499833038,0.0,0.0,0.06933752452815364,0.07692307692307693,0.24806946917841693
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.07669649888473704,0.0,0.0,0.0,0.0
11,0.15430334996209194,0.0,0.0,0.14433756729740646,0.0,0.0
12,0.20203050891044214,0.0,0.0,0.0944911182523068,0.0,0.0
13,0.0,0.0,0.0,0.0,0.09805806756909201,0.0
14,0.0,0.0,0.0,0.0,0.0,0.09128709291752768
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
