de.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
1,0.5533985905294664,0.08333333333333333,0.0,0.0,0.27386127875258304,0.0,0.44194173824159216,0.17677669529663687,0.1889822365046136,0.35355339059327373,0.15811388300841897,0.0,0.0,0.0,0.33541019662496846,0.0,0.22360679774997896,0.2834733547569204,0.0,0.26726124191242434,0.48536267169707553,0.0,0.2261335084333227,0.0,0.09805806756909201,0.09128709291752767,0.2721655269759086,0.17677669529663687,0.27386127875258304,0.0,0.0,0.0,0.0,0.0,0.0,0.10660035817780521,0.26726124191242434,0.0,0.0,0.34299717028501764,0.0,0.0,0.26650089544451305,0.31980107453341566,0.0,0.0,0.20412414523193148,0.0753778361444409,0.33541019662496846,0.33541019662496846,0.36514837167011066,0.40824829046386296,0.34299717028501764,0.35355339059327373,0.5773502691896258,0.34299717028501764,0.0,0.15811388300841897,0.0,0.1414213562373095,0.31980107453341566,0.12499999999999997,0.35355339059327373,0.35355339059327373,0.3500000000000001,0.30316953129541624,0.0,0.30618621784789724,0.22360679774997896,0.35856858280031806,0.07179581586177385
2,0.07905694150420949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10660035817780521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13363062095621217,0.0,0.0,0.0,0.0,0.0,0.053300179088902604,0.0,0.0,0.0,0.0,0.0753778361444409,0.0,0.0,0.0,0.10206207261596574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10660035817780521,0.12499999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05976143046671968,0.07179581586177385
3,0.16903085094570328,0.0890870806374748,0.0,0.0,0.0975900072948533,0.0,0.0944911182523068,0.0944911182523068,0.0,0.0,0.0,0.1091089451179962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07273929674533079,0.1889822365046136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07715167498104596,0.0,0.0,0.05698028822981897,0.0,0.0,0.0,0.0,0.0,0.0,0.0975900072948533,0.1091089451179962,0.09166984970282112,0.0,0.07715167498104596,0.09166984970282112,0.0,0.0,0.0,0.0,0.0,0.13363062095621217,0.0,0.0,0.0,0.06482037235521643,0.0,0.1091089451179962,0.0,0.4472135954999579,0.0
4,0.16269784336399212,0.0,0.0,0.17149858514250882,0.06262242910851494,0.0,0.24253562503633297,0.0,0.19446111706564934,0.30316953129541624,0.16269784336399212,0.0,0.0,0.0,0.15339299776947407,0.0,0.07669649888473704,0.12964074471043288,0.0,0.18333969940564224,0.23782574707724707,0.07669649888473704,0.10341753799900383,0.0,0.0,0.06262242910851494,0.09335200560186732,0.0,0.18786728732554484,0.0,0.0,0.0,0.0,0.0,0.0,0.07312724241271307,0.18333969940564224,0.0,0.0,0.11764705882352941,0.0,0.0,0.14625448482542613,0.10969086361906959,0.0,0.0,0.0700140042014005,0.0,0.15339299776947407,0.15339299776947407,0.18786728732554484,0.140028008402801,0.17647058823529413,0.16169041669088866,0.2475368857441686,0.11764705882352941,0.07312724241271307,0.10846522890932808,0.0,0.048507125007266595,0.14625448482542613,0.0,0.18190171877724973,0.19402850002906638,0.20579830217101067,0.12478354962115544,0.0,0.140028008402801,0.07669649888473704,0.08199200616907877,0.04925152335778523
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,0.12909944487358055,0.0,0.12403473458920847,0.0,0.0,0.0,0.0,0.13483997249264842,0.0,0.0,0.0,0.0,0.15811388300841897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14907119849998599,0.0,0.0,0.0,0.08451542547285164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12909944487358055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08944271909999159,0.0,0.0,0.0,0.0,0.0,0.07669649888473704,0.0,0.0,0.0,0.0,0.04540766091865
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40824829046386296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19611613513818402,0.18257418583505533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11952286093343936,0.0
7,0.16903085094570328,0.0890870806374748,0.0,0.0,0.0975900072948533,0.0,0.0944911182523068,0.0944911182523068,0.20203050891044214,0.0,0.16903085094570328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07273929674533079,0.1889822365046136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.05698028822981897,0.0,0.0,0.0,0.08058229640253803,0.0,0.0,0.0,0.1091089451179962,0.09166984970282112,0.0,0.07715167498104596,0.09166984970282112,0.0,0.0,0.0,0.0,0.11396057645963795,0.13363062095621217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12777531299998798,0.0
8,0.07071067811865474,0.29814239699997197,0.0,0.11180339887498948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17541160386140586,0.0,0.19069251784911848,0.09999999999999998,0.253546276418555,0.0,0.11952286093343936,0.062017367294604234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0816496580927726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04767312946227962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06454972243679029,0.0,0.19069251784911848,0.0,0.0,0.06324555320336758,0.0,0.0,0.0,0.06324555320336758,0.0,0.0,0.28284271247461895,0.18257418583505536,0.0,0.0,0.0
9,0.11180339887498948,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0668153104781061,0.1875,0.05590169943749474,0.0,0.0,0.0,0.15811388300841897,0.0,0.15811388300841897,0.2004459314343183,0.0,0.0944911182523068,0.19611613513818404,0.0,0.15990053726670783,0.0,0.0,0.0,0.09622504486493763,0.0,0.12909944487358055,0.0,0.0,0.0,0.0,0.0,0.0,0.07537783614444091,0.0944911182523068,0.0,0.0,0.24253562503633297,0.0,0.0,0.15075567228888181,0.18844459036110225,0.0,0.0,0.14433756729740646,0.0,0.15811388300841897,0.15811388300841897,0.12909944487358055,0.14433756729740646,0.12126781251816648,0.16666666666666666,0.20412414523193154,0.12126781251816648,0.0,0.11180339887498948,0.0,0.15,0.15075567228888181,0.0,0.125,0.15,0.14142135623730953,0.17149858514250882,0.0,0.14433756729740646,0.15811388300841897,0.08451542547285165,0.025383654128340486
10,0.24999999999999994,0.10540925533894598,0.0,0.07905694150420949,0.11547005383792514,0.0,0.16770509831248423,0.11180339887498948,0.05976143046671968,0.16770509831248423,0.04999999999999999,0.0,0.0,0.0,0.14142135623730948,0.0,0.14142135623730948,0.17928429140015903,0.06741998624632421,0.08451542547285164,0.17541160386140586,0.0,0.14301938838683884,0.0,0.062017367294604234,0.0,0.12909944487358055,0.22360679774997896,0.11547005383792514,0.0,0.0,0.0,0.0,0.0,0.0,0.06741998624632421,0.08451542547285164,0.0,0.0,0.21693045781865616,0.0,0.0,0.1685499656158105,0.20225995873897262,0.0,0.06741998624632421,0.12909944487358055,0.0,0.14142135623730948,0.14142135623730948,0.11547005383792514,0.19364916731037085,0.21693045781865616,0.14907119849998599,0.22821773229381923,0.16269784336399212,0.0,0.0,0.0,0.08944271909999159,0.13483997249264842,0.07905694150420949,0.11180339887498948,0.13416407864998736,0.158113883008419,0.15339299776947407,0.0,0.19364916731037085,0.14142135623730948,0.264575131106459,0.0908153218373
