de.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
1,0.29411764705882354,0.04,0.0,0.0,0.15,0.0,0.23529411764705882,0.09090909090909091,0.1,0.16666666666666666,0.07692307692307693,0.0,0.0,0.0,0.2,0.0,0.125,0.11764705882352941,0.0,0.15384615384615385,0.17647058823529413,0.0,0.09090909090909091,0.0,0.05,0.045454545454545456,0.16,0.09090909090909091,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.1,0.0,0.0,0.11764705882352941,0.0,0.0,0.08888888888888889,0.11764705882352941,0.0,0.0,0.1111111111111111,0.034482758620689655,0.2,0.2,0.17647058823529413,0.25,0.2222222222222222,0.21428571428571427,0.2857142857142857,0.19047619047619047,0.0,0.08333333333333333,0.0,0.08,0.1875,0.06666666666666667,0.16666666666666666,0.14285714285714285,0.08571428571428572,0.1,0.0,0.17647058823529413,0.15384615384615385,0.15625,0.046511627906976744
2,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.046511627906976744
3,0.05,0.041666666666666664,0.0,0.0,0.047619047619047616,0.0,0.05263157894736842,0.045454545454545456,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.05,0.0,0.0625,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.03225806451612903,0.0,0.05555555555555555,0.0,0.16129032258064516,0.0
4,0.06896551724137931,0.0,0.0,0.08695652173913043,0.03225806451612903,0.0,0.1111111111111111,0.0,0.10714285714285714,0.15384615384615385,0.08823529411764706,0.0,0.0,0.0,0.08,0.0,0.038461538461538464,0.037037037037037035,0.0,0.09090909090909091,0.07407407407407407,0.038461538461538464,0.03125,0.0,0.0,0.03225806451612903,0.05555555555555555,0.0,0.10344827586206896,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.07692307692307693,0.0,0.0,0.037037037037037035,0.0,0.0,0.07407407407407407,0.044444444444444446,0.0,0.0,0.03571428571428571,0.0,0.08,0.08,0.07407407407407407,0.07407407407407407,0.10714285714285714,0.08333333333333333,0.08,0.0625,0.037037037037037035,0.047619047619047616,0.0,0.02857142857142857,0.07692307692307693,0.0,0.07142857142857142,0.06451612903225806,0.06818181818181818,0.05,0.0,0.07407407407407407,0.043478260869565216,0.045454545454545456,0.038461538461538464
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0625,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.024390243902439025
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0
7,0.05,0.041666666666666664,0.0,0.0,0.047619047619047616,0.0,0.05263157894736842,0.045454545454545456,0.10526315789473684,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.05555555555555555,0.05,0.0,0.0625,0.043478260869565216,0.0,0.0,0.0,0.0,0.058823529411764705,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0
8,0.043478260869565216,0.16666666666666666,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.10526315789473684,0.05263157894736842,0.16666666666666666,0.0,0.0625,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.10526315789473684,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.04,0.0,0.0,0.15384615384615385,0.1,0.0,0.0,0.0
9,0.08,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.038461538461538464,0.08333333333333333,0.03125,0.0,0.0,0.0,0.09523809523809523,0.0,0.09523809523809523,0.09090909090909091,0.0,0.05263157894736842,0.08695652173913043,0.0,0.07407407407407407,0.0,0.0,0.0,0.0625,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.05555555555555555,0.0,0.0,0.09090909090909091,0.0,0.0,0.058823529411764705,0.075,0.0,0.0,0.08695652173913043,0.0,0.09523809523809523,0.09523809523809523,0.08695652173913043,0.08695652173913043,0.08,0.1,0.09523809523809523,0.07142857142857142,0.0,0.058823529411764705,0.0,0.10344827586206896,0.09090909090909091,0.0,0.08333333333333333,0.07407407407407407,0.04878048780487805,0.05555555555555555,0.0,0.08695652173913043,0.1111111111111111,0.05,0.02040816326530612
10,0.13333333333333333,0.05555555555555555,0.0,0.037037037037037035,0.06060606060606061,0.0,0.1,0.058823529411764705,0.030303030303030304,0.06451612903225806,0.02564102564102564,0.0,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142,0.06896551724137931,0.03333333333333333,0.038461538461538464,0.06666666666666667,0.0,0.058823529411764705,0.0,0.03125,0.0,0.07894736842105263,0.09090909090909091,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.046511627906976744,0.0,0.0,0.06896551724137931,0.0,0.0,0.07017543859649122,0.08695652173913043,0.0,0.03333333333333333,0.06666666666666667,0.0,0.07142857142857142,0.07142857142857142,0.06666666666666667,0.10344827586206896,0.13333333333333333,0.07407407407407407,0.1111111111111111,0.08823529411764706,0.0,0.0,0.0,0.05405405405405406,0.06896551724137931,0.037037037037037035,0.06451612903225806,0.058823529411764705,0.06382978723404255,0.046511627906976744,0.0,0.10344827586206896,0.08,0.13953488372093023,0.03636363636363636
