de.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0.08571428571428572,0.05555555555555555,0.024390243902439025,0.027777777777777776,0.16,0.0,0.05,0.0,0.0,0.04477611940298507,0.0,0.0,0.0,0.02702702702702703,0.02702702702702703
2,0.08333333333333333,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.125,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.06382978723404255,0.0,0.0,0.05555555555555555,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0625,0.0,0.0,0.0
6,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.023809523809523808,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.07317073170731707,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0
13,0.0,0.0,0.043478260869565216,0.05555555555555555,0.0,0.0,0.0,0.058823529411764705,0.0,0.0196078431372549,0.0,0.1111111111111111,0.0,0.0,0.0
14,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0
15,0.0,0.0,0.045454545454545456,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.05555555555555555
16,0.09523809523809523,0.0,0.0,0.1,0.023809523809523808,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
