it.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,0.6135719910778964,0.0,0.0,0.0,0.2100420126042015,0.05756736625034038,0.0,0.0,0.0,0.0,0.0,0.09901475429766744,0.13453455879926252,0.0,0.07669649888473704,0.0,0.039872611141445004,0.09393364366277243
2,0.14142135623730953,0.0,0.0,0.10540925533894598,0.45184805705753195,0.13268622310856884,0.0,0.14509525002200235,0.07071067811865474,0.0,0.0,0.0,0.12403473458920847,0.0,0.07071067811865474,0.0,0.11028219331407116,0.11547005383792516
3,0.02886751345948129,0.05773502691896257,0.0,0.0,0.05270462766947299,0.1950081255078478,0.06085806194501846,0.02961744388795462,0.0,0.0,0.0,0.0,0.05063696835418333,0.0,0.0,0.0,0.030015011259383214,0.0
4,0.0,0.0,0.0,0.0,0.09128709291752768,0.15011732500816033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.10540925533894598,0.0,0.0,0.0,0.09622504486493763,0.07911877721292357,0.0,0.0,0.0,0.2519763153394848,0.1111111111111111,0.0,0.18490006540840973,0.0,0.10540925533894598,0.0,0.1095993248702382,0.12909944487358063
6,0.0,0.0,0.0,0.0,0.0,0.09690031662230188,0.0,0.0,0.0,0.3086066999241838,0.13608276348795434,0.0,0.0,0.0,0.0,0.0,0.06711560552140244,0.0
7,0.09534625892455925,0.0,0.0,0.0,0.0,0.2504796934375797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049568159709660976,0.0
8,0.1725163898355886,0.13801311186847084,0.12598815766974242,0.15430334996209194,0.18898223650461363,0.12948849481091768,0.29095718698132317,0.28319693016191555,0.13801311186847084,0.0,0.07273929674533079,0.0,0.30261376633440124,0.0,0.13801311186847084,0.0,0.17937400083354382,0.28171808490950556
9,0.0316227766016838,0.06324555320336758,0.2886751345948129,0.14142135623730953,0.05773502691896258,0.0,0.0,0.4542199791661352,0.12649110640673517,0.0,0.3333333333333333,0.08164965809277261,0.11094003924504582,0.08944271909999159,0.06324555320336758,0.0,0.06575959492214292,0.10327955589886446
10,0.0,0.0,0.19245008972987526,0.0,0.09622504486493763,0.039559388606461784,0.0,0.054073807043587524,0.7378647873726218,0.2519763153394848,0.2222222222222222,0.0,0.09245003270420486,0.0,0.0,0.0,0.0547996624351191,0.08606629658238708
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8017837257372731,0.2357022603955158,0.0,0.0,0.0,0.0,0.0,0.11624763874381928,0.0
12,0.0,0.0,0.15430334996209194,0.0,0.0,0.0,0.0,0.13006649542861803,0.08451542547285165,0.40406101782088427,0.8017837257372732,0.0,0.07412493166611013,0.0,0.08451542547285165,0.0,0.08787495503274938,0.06900655593423544
13,0.0,0.0,0.11785113019775793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
14,0.10540925533894598,0.0,0.19245008972987526,0.0,0.09622504486493763,0.07911877721292357,0.0,0.054073807043587524,0.10540925533894598,0.0,0.1111111111111111,0.0,0.7396002616336389,0.0,0.10540925533894598,0.0,0.0547996624351191,0.12909944487358063
15,0.0,0.09999999999999998,0.0,0.0,0.0,0.11258799375612025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28284271247461895,0.0,0.0,0.05198752449100364,0.0
16,0.0,0.0,0.0,0.0,0.0,0.044856130401625664,0.1259881576697424,0.061313933948496595,0.0,0.0,0.1259881576697424,0.0,0.0,0.0,0.47809144373375745,0.0,0.0,0.09759000729485336
17,0.0,0.0,0.0,0.0890870806374748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8017837257372731,0.062136976600120006,0.0
18,0.05679618342470649,0.0,0.0,0.2116668783336509,0.05184758473652128,0.04263045563194876,0.0,0.2913582733740326,0.0,0.13576884666042613,0.05986843400892498,0.0,0.09962709627734359,0.0,0.05679618342470648,0.06350006350009525,0.6791193846611164,0.16230861351605894
19,0.1468050548786759,0.0,0.0,0.0,0.16081688022566926,0.132227892816378,0.061898446059017294,0.030123761656438906,0.0,0.0,0.0,0.0,0.20601048104984193,0.08304547985373997,0.11744404390294069,0.0,0.06105625108726636,0.4315169713368458
20,0.16770509831248423,0.0,0.0,0.08333333333333333,0.20412414523193148,0.12587720374450337,0.0,0.2294157338705618,0.11180339887498948,0.0,0.05892556509887895,0.0,0.19611613513818402,0.15811388300841897,0.16770509831248423,0.0,0.11624763874381928,0.41079191812887467
