Topic, Languages, Maximum value, Length of L1, Length of L2, %L1, %L2, Diagonal>=2, Diagonal >=3, Diagonal>=4, Diagonal>=5
Caproni Ca.73,de.it,0.3903600291794132,16,3,12.5,66.66666666666666,yes,no,no,no
Caproni Ca.73,de.fr,0.48795003647426655,16,5,25.0,80.0,yes,no,no,no
Caproni Ca.73,de.en,0.0,16,6,0.0,0.0,no,no,no,no
Caproni Ca.73,it.fr,0.6666666666666666,3,5,100.0,60.0,yes,yes,no,no
Caproni Ca.73,it.en,0.2760262237369417,3,6,66.66666666666666,33.33333333333333,yes,no,no,no
Caproni Ca.73,fr.en,0.0,5,6,0.0,0.0,no,no,no,no
Fiat G.12,de.it,0.0,54,14,0.0,0.0,no,no,no,no
Fiat G.12,de.fr,0.47809144373375745,54,71,3.7037037037037033,2.8169014084507045,yes,no,no,no
Fiat G.12,de.en,0.0,54,8,0.0,0.0,no,no,no,no
Fiat G.12,it.fr,0.20100756305184242,14,71,14.285714285714285,2.8169014084507045,yes,no,no,no
Fiat G.12,it.en,0.0,14,8,0.0,0.0,no,no,no,no
Fiat G.12,fr.en,0.0,71,8,0.0,0.0,no,no,no,no
Alfa Romeo Stelvio,fr.en,0.0,9,2,0.0,0.0,no,no,no,no
Fiat A.80,de.it,0.8235294117647058,9,9,66.66666666666666,66.66666666666666,yes,yes,no,no
Fiat A.80,de.fr,0.0,9,14,0.0,0.0,no,no,no,no
Fiat A.80,de.en,0.4139186771923578,9,2,22.22222222222222,100.0,yes,no,no,no
Fiat A.80,it.fr,0.5070925528371099,9,14,22.22222222222222,14.285714285714285,yes,no,no,no
Fiat A.80,it.en,0.0,9,2,0.0,0.0,no,no,no,no
Fiat A.80,fr.en,0.0,14,2,0.0,0.0,no,no,no,no
Ala Littoria,de.it,0.29411764705882354,16,9,12.5,22.22222222222222,yes,no,no,no
Ala Littoria,de.fr,0.29411764705882354,16,8,12.5,25.0,yes,no,no,no
Ala Littoria,de.en,0.7001400420140049,16,9,18.75,33.33333333333333,yes,yes,no,no
Ala Littoria,it.fr,0.7058823529411765,9,8,66.66666666666666,75.0,yes,yes,no,no
Ala Littoria,it.en,0.0,9,9,0.0,0.0,no,no,no,no
Ala Littoria,fr.en,0.0,8,9,0.0,0.0,no,no,no,no
Giuseppe Merosi,de.it,0.5303300858899106,20,16,20.0,25.0,yes,no,no,no
Giuseppe Merosi,de.fr,0.6804138174397718,20,23,45.0,39.130434782608695,yes,yes,no,no
Giuseppe Merosi,de.en,1.0,20,16,45.0,56.25,yes,yes,yes,yes
Giuseppe Merosi,it.fr,0.8660254037844387,16,23,93.75,65.21739130434783,yes,yes,yes,yes
Giuseppe Merosi,it.en,0.5604485383178051,16,16,31.25,31.25,yes,yes,no,no
Giuseppe Merosi,fr.en,0.6735753140545634,23,16,21.73913043478261,31.25,yes,yes,no,no
King Long,de.it,0.0,63,12,0.0,0.0,no,no,no,no
King Long,de.fr,0.0,63,12,0.0,0.0,no,no,no,no
King Long,de.en,0.0,63,19,0.0,0.0,no,no,no,no
King Long,it.fr,0.4661490107484189,12,12,41.66666666666667,41.66666666666667,yes,yes,no,no
King Long,it.en,0.8534918135881966,12,19,58.333333333333336,36.84210526315789,yes,yes,yes,yes
King Long,fr.en,0.7214084193623483,12,19,16.666666666666664,10.526315789473683,yes,no,no,no
CANT Z.1007,de.it,0.4615384615384616,19,69,21.052631578947366,5.797101449275362,yes,no,no,no
CANT Z.1007,de.fr,0.4803844614152615,19,58,10.526315789473683,3.4482758620689653,yes,no,no,no
CANT Z.1007,de.en,0.27386127875258304,19,138,10.526315789473683,1.4492753623188406,yes,no,no,no
CANT Z.1007,it.fr,0.8693182879212227,69,58,53.62318840579711,63.793103448275865,yes,yes,yes,yes
CANT Z.1007,it.en,1.0,69,138,39.130434782608695,19.565217391304348,yes,yes,yes,yes
CANT Z.1007,fr.en,0.7302967433402214,58,138,29.310344827586203,12.318840579710146,yes,yes,yes,yes
Avio Linee Italiane,de.it,0.26726124191242434,14,7,28.57142857142857,57.14285714285714,yes,no,no,no
Avio Linee Italiane,de.fr,0.4622501635210243,14,14,35.714285714285715,35.714285714285715,yes,yes,no,no
Avio Linee Italiane,de.en,0.0,14,19,0.0,0.0,no,no,no,no
Avio Linee Italiane,it.fr,0.5800147905657416,7,14,42.857142857142854,21.428571428571427,yes,yes,no,no
Avio Linee Italiane,it.en,0.2475368857441686,7,19,28.57142857142857,10.526315789473683,yes,no,no,no
Avio Linee Italiane,fr.en,1.0000000000000002,14,19,28.57142857142857,21.052631578947366,yes,yes,yes,no
URSS W6 OSOAVIAKHIM,de.it,0.6471502289294341,52,36,36.53846153846153,52.77777777777778,yes,yes,yes,yes
URSS W6 OSOAVIAKHIM,de.fr,0.7999999999999998,52,34,32.69230769230769,52.94117647058824,yes,yes,yes,yes
URSS W6 OSOAVIAKHIM,de.en,0.3999999999999999,52,11,7.6923076923076925,36.36363636363637,yes,yes,yes,no
URSS W6 OSOAVIAKHIM,it.fr,0.7627700713964739,36,34,55.55555555555556,58.82352941176471,yes,yes,yes,yes
URSS W6 OSOAVIAKHIM,it.en,0.6614378277661476,36,11,16.666666666666664,54.54545454545454,yes,yes,yes,no
URSS W6 OSOAVIAKHIM,fr.en,0.5698028822981898,34,11,14.705882352941178,45.45454545454545,yes,yes,no,no
Salini Impregilo,de.it,0.0,2,84,0.0,0.0,no,no,no,no
Salini Impregilo,de.fr,0.0,2,64,0.0,0.0,no,no,no,no
Salini Impregilo,de.en,0.0,2,12,0.0,0.0,no,no,no,no
Salini Impregilo,it.fr,0.8017837257372731,84,64,20.238095238095237,26.5625,yes,yes,no,no
Salini Impregilo,it.en,0.0,84,12,0.0,0.0,no,no,no,no
Salini Impregilo,fr.en,0.35355339059327373,64,12,3.125,16.666666666666664,yes,no,no,no
Nobile T.34 Roma,de.it,0.7715167498104595,18,20,55.55555555555556,50.0,yes,yes,yes,yes
Nobile T.34 Roma,de.fr,0.7216878364870323,18,18,50.0,50.0,yes,yes,yes,yes
Nobile T.34 Roma,de.en,0.30207927000959933,18,15,22.22222222222222,26.666666666666668,yes,no,no,no
Nobile T.34 Roma,it.fr,0.8017837257372732,20,18,60.0,66.66666666666666,yes,yes,yes,yes
Nobile T.34 Roma,it.en,0.33407655239053047,20,15,25.0,26.666666666666668,yes,no,no,no
Nobile T.34 Roma,fr.en,0.43041423101055837,18,15,22.22222222222222,26.666666666666668,yes,no,no,no
