de.it,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
1,0.6405126152203486,0.30261376633440124,0.12104550653376049,0.0,0.05150262026246048,0.0,0.0,0.0,0.0,0.0,0.0,0.09245003270420486,0.0,0.21483446221182986,0.11826247919781652,0.24806946917841693,0.09805806756909201,0.18156825980064073,0.0,0.1432229748078866,0.062017367294604234,0.0,0.0,0.05913123959890826,0.0,0.3076923076923077,0.062017367294604234,0.0,0.0,0.0,0.0,0.0,0.0
2,0.2641352718976872,0.4326129116658192,0.03327791628198609,0.0,0.0,0.07874992309581577,0.06819943394704735,0.0,0.0,0.0,0.0,0.0,0.0576390417704235,0.07874992309581577,0.06502560887623551,0.2727977357881894,0.269581933008596,0.03327791628198609,0.03594425773447948,0.15749984619163154,0.0,0.0,0.053916386601719206,0.13005121775247103,0.0,0.16918197377512545,0.1363988678940947,0.04229549344378136,0.0,0.0,0.053916386601719206,0.0,0.0
3,0.06454972243679027,0.09759000729485333,0.3903600291794133,0.0,0.2491364395612199,0.05773502691896257,0.0,0.05976143046671968,0.05976143046671967,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,0.15811388300841897,0.0,0.05270462766947299,0.05773502691896257,0.0,0.0,0.0,0.047673129462279605,0.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0
4,0.16666666666666669,0.12598815766974242,0.0,0.5163977794943222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2581988897471611,0.20412414523193148,0.0,0.0,0.14907119849998599,0.0,0.0,0.0,0.12309149097933272,0.0,0.0,0.12909944487358055,0.0,0.0,0.0,0.0,0.0,0.0
5,0.05184758473652126,0.03919309008348102,0.11757927025044307,0.0,0.6003336113685631,0.0,0.040160966445124936,0.1440046082211958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08032193289024987,0.19050019050028572,0.0,0.0,0.04637388957601682,0.0,0.0,0.0,0.11487593716012254,0.0,0.0,0.12048289933537482,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.09759000729485333,0.0,0.16609095970747995,0.23094010767585027,0.0,0.11952286093343936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12403473458920847,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.07273929674533079,0.07273929674533079,0.0,0.0,0.4303314829119352,0.07453559924999299,0.0,0.08908708063747478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.06299407883487121,0.047619047619047616,0.0,0.19518001458970666,0.040522044923655395,0.1126872339638022,0.34156502553198664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.09759000729485333,0.0,0.0,0.0,0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0700140042014005,0.05292561240249631,0.05292561240249631,0.0,0.22518867455552252,0.0,0.05423261445466404,0.4537426064865151,0.0,0.0,0.0,0.0,0.0,0.06262242910851494,0.0,0.10846522890932808,0.17149858514250882,0.0,0.05716619504750295,0.06262242910851494,0.0,0.0,0.0,0.051708768999501914,0.0,0.0,0.10846522890932808,0.0,0.0,0.0,0.0,0.0,0.0
12,0.26111648393354675,0.2631806779839076,0.3289758474798845,0.0,0.22395700438234173,0.0,0.13483997249264842,0.0,0.7252406676228423,0.0,0.0,0.0,0.0,0.23354968324845687,0.1928473039599675,0.13483997249264842,0.10660035817780521,0.1973855084879307,0.2842676218074806,0.0778498944161523,0.0,0.0,0.21320071635561041,0.06428243465332249,0.2279211529192759,0.25087260300212727,0.06741998624632421,0.16724840200141816,0.0,0.0,0.21320071635561041,0.0,0.0
13,0.0,0.0,0.0,0.2581988897471611,0.1072112534837795,0.0,0.2581988897471611,0.0,0.0,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06482037235521643,0.0,0.47058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06726727939963126,0.0
15,0.10206207261596574,0.07715167498104596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17149858514250882,0.35355339059327373,0.0,0.0,0.0,0.0,0.0,0.07715167498104596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09805806756909201,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.18569533817705186,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1889822365046136,0.0,0.0,0.0,0.17677669529663687,0.1091089451179962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22360679774997896,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14907119849998599,0.6761234037828131,0.0,0.0,0.0,0.0,0.09759000729485333,0.0,0.0,0.0,0.0,0.31622776601683794,0.0,0.16903085094570328,0.0,0.0,0.24806946917841693,0.0,0.19999999999999996,0.0,0.0,0.0
