de.it,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,0.3149448894660933,0.0,0.0,0.04891159880445184,0.0,0.06917144638660747,0.061313933948496574,0.08111071056538126,0.0,0.0,0.0,0.05006261743217588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13834289277321493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047836487323493986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.043852900965351466,0.0,0.0,0.5720775535473553,0.0,0.0,0.0,0.0,0.0,0.0,0.043852900965351466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06741998624632421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.5330017908890261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.04902903378454601,0.0,0.06933752452815364,0.053300179088902604,0.0,0.0,0.33407655239053047,0.08838834764831843,0.0,0.0,0.04902903378454601,0.0545544725589981,0.0,0.0,0.0,0.0944911182523068,0.0,0.0,0.0,0.0,0.0,0.07537783614444091,0.125,0.0,0.04902903378454601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.04902903378454601,0.0,0.0,0.0,0.0
7,0.0,0.0,0.18490006540840973,0.07106690545187015,0.0,0.0,0.0890870806374748,0.5892556509887895,0.1178511301977579,0.0,0.06537204504606135,0.14547859349066158,0.0,0.0,0.0,0.1259881576697424,0.0,0.10050378152592121,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.06537204504606135,0.0,0.0,0.0,0.0,0.0,0.06950480468569159,0.0,0.0,0.16666666666666666,0.0,0.06537204504606135,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.26726124191242434,0.0,0.0,0.0,0.5345224838248487,0.13363062095621217,0.14824986333222023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15811388300841897,0.4743416490252569,0.17541160386140586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18257418583505533,0.18257418583505533,0.40509574683346666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
