it.en,1,2,3,4,5,6,7,8,9,10,11,12,13
1,0.5,0.0,0.03225806451612903,0.08333333333333333,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0
2,0.08333333333333333,0.125,0.03125,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.1111111111111111,0.0,0.0,0.0
3,0.034482758620689655,0.0,0.0,0.10714285714285714,0.07407407407407407,0.03333333333333333,0.02,0.0,0.0,0.0,0.0,0.0,0.0
4,0.08333333333333333,0.0,0.03125,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.034482758620689655,0.0,0.034482758620689655,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.02
6,0.0,0.09090909090909091,0.02857142857142857,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0
7,0.1111111111111111,0.06666666666666667,0.02564102564102564,0.05,0.0,0.0,0.07894736842105263,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.022222222222222223,0.0,0.0,0.038461538461538464,0.0,0.04,0.0,0.0,0.0,0.0,0.0
10,0.08333333333333333,0.0,0.0,0.07692307692307693,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.16666666666666666,0.1,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.05,0.025,0.0,0.0,0.0,0.0,0.0,0.024390243902439025
16,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0
20,0.0,0.05,0.046511627906976744,0.0,0.0,0.0,0.06976744186046512,0.0,0.0,0.0,0.0,0.0,0.0
