de.fr,1,2,3,4,5,6,7
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.5051814855409226,0.09622504486493763,0.0,0.0,0.0,0.0,0.0
4,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
5,0.125,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.3086066999241839,0.0,0.0,0.0
9,0.0,0.0,0.11785113019775793,0.0,0.23570226039551587,0.0,0.0
10,0.0,0.0,0.19245008972987526,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
