it.en,1,2,3,4,5,6,7,8,9
1,0.0,0.0,0.2279211529192759,0.1889822365046136,0.0,0.0944911182523068,0.0944911182523068,0.0,0.0629940788348712
2,0.0,0.0,0.10050378152592121,0.0,0.3442651863295481,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,0.0,0.0,0.0
4,0.0,0.0,0.0,0.11785113019775793,0.0,0.0,0.23570226039551587,0.0,0.15713484026367722
5,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.07071067811865475,0.2
6,0.0,0.0,0.0,0.0,0.0,0.12909944487358055,0.12909944487358055,0.18257418583505533,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
