de.it,1,2,3,4,5,6
1,0.0,0.0,0.0,0.08333333333333333,0.0,0.07692307692307693
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.043478260869565216,0.05263157894736842,0.2222222222222222,0.05,0.09523809523809523,0.047619047619047616
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.5454545454545454,0.0,0.058823529411764705
6,0.21428571428571427,0.0,0.0,0.0,0.06666666666666667,0.0
7,0.0625,0.0,0.0,0.0,0.23076923076923078,0.0
8,0.0,0.0,0.0,0.1,0.0,0.21052631578947367
9,0.07142857142857142,0.0,0.0,0.09090909090909091,0.07692307692307693,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
