it.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0.0,0.0,0.6546536707079772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,1.0,0.0,0.09128709291752768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.07254762501100116,0.24333213169614382,0.4966996338993915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46676002800933664,0.1111111111111111,0.08830215713766958,0.17817416127494964,0.07147416898918632,0.0,0.03163859985841663,0.05337605126836238,0.1111111111111111,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24253562503633297,0.8660254037844387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6282808624375432,0.25354627641855504,0.033903175181040524,0.0,0.030015011259383214,0.0,0.21081851067789195,0.0,0.12171612389003691,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08520286456846099,0.3438409530367518,0.31034482758620696,0.0,0.03052812554363318,0.15450786078738143,0.05360562674188975,0.041522739926869986,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07312724241271307,0.0,0.2075143391598224,0.5117663157191591,0.05598925109558543,0.0,0.0,0.0,0.17407765595569785,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14331487278000374,0.385570154169504,0.37700961386773213,0.13968605915391566,0.07702442489446454,0.043314808182421005,0.22541740866685814,0.06984302957695783,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08671099695241198,0.0,0.1403724812687193,0.33806170189140655,0.062136976600120006,0.0,0.0,0.0,0.1259881576697424,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03834824944236852,0.0,0.07254762501100116,0.12198750911856668,0.029361010975735173,0.0,0.5198752449100363,0.043852900965351466,0.0,0.03535533905932737,0.05270462766947299,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08104408984731079,0.0,0.03587480016670876,0.6052275326688025,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12725695259515554,0.2567762955065478,0.05150262026246048,0.0,0.04559607525875533,0.0,0.8807048459279794,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07273929674533082,0.0,0.0,0.03874921291460643,0.0,0.0,0.6851601597031488,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08671099695241198,0.0,0.0,0.0,0.062136976600120006,0.10482848367219183,0.0,0.0,0.2519763153394848,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05150262026246048,0.0,0.0,0.0,0.0,0.0,0.09245003270420486,0.3076923076923077
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41602514716892186
