de.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
1,0.27695585470349865,0.17503501050350123,0.04166666666666667,0.18146654657782443,0.03500700210070025,0.1613743060919757,0.0,0.06019292654288461,0.05773502691896258,0.16081688022566926,0.12632278815997786,0.0,0.0,0.08492077756084468,0.0,0.0,0.0,0.10206207261596574,0.0,0.13245323570650439,0.0,0.09622504486493763,0.11785113019775793,0.05555555555555555,0.07654655446197431,0.07426106572325057,0.14907119849998599,0.07453559924999299,0.13638618139749525,0.10640706634484358,0.06154574548966636,0.1613743060919757,0.04003203845127179,0.18371173070873836
2,0.0,0.0,0.1091089451179962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11026356928399425,0.0,0.0,0.0,0.0,0.0944911182523068,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.07273929674533079,0.0,0.0,0.0975900072948533,0.0,0.0,0.0,0.16116459280507606,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07018624063435965,0.055131784641997125,0.0,0.0,0.0,0.26726124191242434,0.0,0.0,0.0,0.0,0.3468439878096479,0.0,0.0,0.1543033499620919,0.0,0.0,0.06482037235521643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10690449676496974
4,0.0,0.0,0.14433756729740646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13245323570650439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08512565307587486,0.0,0.0,0.0,0.16329931618554522
6,0.12856486930664499,0.07312724241271307,0.0,0.1624591083221647,0.0,0.06741998624632421,0.0,0.25147784538477264,0.12060453783110546,0.11197850219117086,0.2638796982801255,0.0,0.0,0.4139186771923578,0.0,0.0,0.0,0.0,0.0,0.06917144638660747,0.0,0.502518907629606,0.12309149097933275,0.058025885318565944,0.053300179088902604,0.051708768999501914,0.0778498944161523,0.0778498944161523,0.1709408646894569,0.2222771122371935,0.06428243465332249,0.13483997249264842,0.0,0.08528028654224416
7,0.0,0.18190171877724973,0.0,0.08980265101338744,0.0,0.11180339887498948,0.0,0.0,0.0,0.0,0.0,0.07905694150420949,0.07216878364870323,0.0,0.0,0.0,0.0,0.17677669529663687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042874646285627205,0.0,0.12909944487358055,0.0472455591261534,0.0,0.053300179088902604,0.05590169943749474,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08451542547285164,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05572782125753528,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.06726727939963126,0.08006407690254358,0.04981354813867179,0.06726727939963126,0.0,0.0,0.0,0.0,0.05150262026246048,0.04045566970313674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19088542889273333,0.0,0.0,0.0,0.05337605126836238,0.049029033784546004,0.0,0.0716114874039433,0.0,0.0,0.040893041005476534,0.0,0.062017367294604234,0.07692307692307693,0.07844645405527362
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14744195615489714,0.0,0.0,0.0,0.0
13,0.0,0.07669649888473704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0922531208028885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05590169943749474,0.0,0.0,0.0,0.0,0.0,0.1348399724926484,0.0,0.0,0.0
14,0.0,0.06726727939963126,0.08006407690254358,0.04981354813867179,0.06726727939963126,0.0,0.0,0.0,0.0,0.05150262026246048,0.04045566970313674,0.17541160386140586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06362847629757777,0.0,0.0,0.0,0.10675210253672476,0.09805806756909201,0.0,0.0716114874039433,0.0,0.052414241836095915,0.040893041005476534,0.0,0.062017367294604234,0.07692307692307693,0.07844645405527362
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09622504486493763,0.0,0.08574929257125441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07071067811865475
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09284766908852593,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.03492151478847891,0.0,0.03256448045129181,0.031234752377721213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027607881518711633,0.0,0.04032389192727559,0.0,0.0,0.0,0.0,0.0,0.0,0.022086305214969307
18,0.0,0.0,0.0,0.0,0.0,0.11180339887498948,0.0,0.0,0.0,0.09284766908852593,0.07293249574894728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1889822365046136,0.0,0.0,0.0,0.0,0.07071067811865475
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14744195615489714,0.0,0.0,0.0,0.0
