de.it,1,2,3,4,5,6,7,8,9,10,11,12,13
1,0.40824829046386296,0.0,0.0,0.05103103630798287,0.06454972243679027,0.0,0.036084391824351615,0.0,0.0,0.0,0.0,0.0,0.06454972243679027
2,0.0,0.3086066999241838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.06681531047810609,0.0,0.4629100498862757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.35355339059327373,0.0,0.2886751345948129,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.10206207261596574,0.0,0.0,0.20412414523193148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.053300179088902604,0.0,0.0,0.0,0.40451991747794525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.13258252147247765,0.0,0.10206207261596577,0.17677669529663687,0.16770509831248423,0.14433756729740646,0.0625,0.08333333333333333,0.0668153104781061,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.12499999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.11322770341445959,0.0,0.062017367294604234,0.0,0.6240377207533828,0.0,0.14824986333222026,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.05590169943749474,0.0,0.0,0.0,0.07071067811865474,0.0,0.15811388300841897,0.5270462766947299,0.08451542547285165,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5188745216627709,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4472135954999579,0.0,0.08838834764831843,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5521576303742327,0.0
18,0.08838834764831843,0.0,0.0,0.17677669529663687,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.4472135954999579
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
