it.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
1,0.18844459036110225,0.08574929257125441,0.0,0.09525009525014286,0.08574929257125441,0.11858541225631422,0.0,0.036860489038724284,0.035355339059327376,0.13130643285972254,0.10314212462587934,0.0,0.0,0.05200314339611522,0.0,0.0,0.0,0.062499999999999986,0.0,0.12166606584807188,0.0,0.05892556509887895,0.07216878364870323,0.03402069087198858,0.031249999999999993,0.06063390625908324,0.04564354645876383,0.04564354645876383,0.10022296571715913,0.052128603514268686,0.03768891807222045,0.11858541225631422,0.0,0.14999999999999997
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.09901475429766744,0.0,0.1466471150213533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12909944487358058,0.11785113019775793,0.0,0.2886751345948129,0.0,0.0,0.0,0.0,0.1873171623163388,0.0,0.0,0.0,0.0,0.07216878364870323,0.0700140042014005,0.0,0.21081851067789195,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.08574929257125441,0.10206207261596574,0.19050019050028572,0.0,0.07905694150420949,0.0,0.0,0.07071067811865475,0.06565321642986127,0.10314212462587934,0.11180339887498948,0.10206207261596574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06063390625908324,0.0,0.18257418583505533,0.06681531047810609,0.0,0.0,0.0,0.0,0.09999999999999998
5,0.09534625892455921,0.05423261445466404,0.0,0.12048289933537482,0.0,0.04999999999999999,0.0,0.23312620206007845,0.13416407864998736,0.08304547985373997,0.293547632874049,0.0,0.0,0.19733805434408155,0.0,0.05590169943749474,0.0,0.0,0.0,0.1025978352085154,0.0,0.22360679774997896,0.09128709291752768,0.0,0.03952847075210474,0.03834824944236852,0.05773502691896257,0.05773502691896257,0.12677313820927746,0.1318760946791574,0.047673129462279605,0.09999999999999998,0.0,0.06324555320336758
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.05590169943749474,0.0,0.0,0.0,0.046423834544262965,0.07293249574894728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057353933467640436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0472455591261534,0.0,0.053300179088902604,0.0,0.0,0.035355339059327376
8,0.0,0.0,0.09622504486493763,0.05986843400892496,0.242535625036333,0.0,0.0,0.0,0.0,0.0,0.04862166383263152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14907119849998599,0.0,0.0,0.06415002990995841,0.17677669529663687,0.0,0.0,0.0,0.0,0.0,0.07106690545187015,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1690308509457033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10286889997472794,0.0472455591261534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1025978352085154,0.0,0.0,0.0,0.17213259316477406,0.0,0.15339299776947407,0.11547005383792514,0.0,0.0,0.0,0.0,0.0,0.0,0.12649110640673517
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10206207261596574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.03175003175004762,0.0,0.03952847075210474,0.0,0.0,0.035355339059327376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07905694150420949,0.0,0.0,0.0,0.062499999999999986,0.0,0.0,0.04564354645876383,0.0,0.0,0.0,0.0,0.0,0.07499999999999998
13,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.08304547985373997,0.06523280730534423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08451542547285164,0.0,0.0,0.0,0.0,0.06324555320336758
