it.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.06666666666666667,0.04,0.02564102564102564,0.034482758620689655,0.024390243902439025,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0
3,0.0,0.0,0.05,0.0,0.1111111111111111,0.0,0.0,0.08,0.05128205128205128,0.06896551724137931,0.023809523809523808,0.0,0.022222222222222223,0.0,0.041666666666666664,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.02631578947368421,0.07407407407407407,0.025,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0
5,0.0,0.15384615384615385,0.05263157894736842,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.1111111111111111,0.024390243902439025,0.05555555555555555,0.046511627906976744,0.05555555555555555,0.0,0.045454545454545456,0.038461538461538464,0.06666666666666667
6,0.0,0.0,0.0,0.0,0.10526315789473684,0.06666666666666667,0.0,0.0,0.024390243902439025,0.23076923076923078,0.023255813953488372,0.10526315789473684,0.044444444444444446,0.0,0.04,0.0,0.03571428571428571,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.029411764705882353,0.041666666666666664,0.027777777777777776,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0
9,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061224489795918366,0.0,0.03333333333333333,0.034482758620689655,0.030303030303030304,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.06666666666666667,0.05,0.0,0.0,0.0,0.0625,0.0,0.0,0.06896551724137931,0.023809523809523808,0.05263157894736842,0.022222222222222223,0.05263157894736842,0.0,0.043478260869565216,0.037037037037037035,0.0625
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
