de.en,1,2,3,4,5,6,7,8,9,10,11,12
1,0.40147753427348304,0.08671099695241198,0.16222142113076252,0.26315789473684204,0.07254762501100116,0.2545139051903111,0.0,0.06362847629757777,0.0,0.0,0.1131471429607071,0.10526315789473682
2,0.05590169943749474,0.08451542547285164,0.07905694150420949,0.0,0.0,0.0,0.0,0.062017367294604234,0.0,0.0,0.14704292441876152,0.1025978352085154
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.33541019662496846,0.0,0.0,0.2051956704170308,0.0,0.12403473458920847,0.0,0.0,0.0,0.0,0.07352146220938076,0.0
5,0.46770717334674267,0.20203050891044214,0.0944911182523068,0.30656966974248284,0.0,0.14824986333222026,0.0,0.0,0.0,0.0,0.13181243254912403,0.061313933948496574
6,0.0,0.0,0.10206207261596574,0.0,0.0,0.0,0.0,0.0,0.1091089451179962,0.1091089451179962,0.2847473987257497,0.0
7,0.23717082451262844,0.0,0.11180339887498948,0.14509525002200233,0.0,0.08770580193070293,0.0,0.08770580193070293,0.0,0.0,0.05198752449100363,0.07254762501100116
8,0.47970161180012344,0.0,0.1507556722888818,0.3423811916311629,0.0,0.17739371879672478,0.0,0.05913123959890826,0.0,0.0,0.10514994558491722,0.04891159880445184
9,0.36084391824351614,0.2182178902359924,0.0,0.13245323570650439,0.09128709291752768,0.16012815380508716,0.0,0.0,0.0,0.0,0.14237369936287486,0.13245323570650439
10,0.2834733547569204,0.07142857142857142,0.0,0.17342199390482396,0.0,0.10482848367219183,0.0,0.0,0.0,0.0,0.06213697660011999,0.04335549847620599
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05407380704358752
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08671099695241198
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.14433756729740646,0.2182178902359924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0949157995752499,0.13245323570650439
15,0.0944911182523068,0.4285714285714285,0.0,0.0,0.0,0.0,0.0,0.10482848367219183,0.0,0.0,0.12427395320023998,0.08671099695241198
16,0.08980265101338746,0.06788442333021306,0.06350006350009525,0.04120428217151646,0.05679618342470648,0.09962709627734359,0.0,0.049813548138671795,0.0,0.0,0.02952692976787463,0.16481712868606585
