de.it,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,0.0,0.07692307692307693,0.08333333333333333,0.03333333333333333,0.038461538461538464,0.0,0.03225806451612903,0.0,0.0,0.047619047619047616,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.034482758620689655,0.0,0.03333333333333333,0.0,0.0
2,0.0,0.07407407407407407,0.038461538461538464,0.03225806451612903,0.037037037037037035,0.13793103448275862,0.0,0.037037037037037035,0.0,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.03225806451612903,0.0,0.02857142857142857
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333
4,0.0,0.0,0.0,0.05263157894736842,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.18181818181818182,0.23529411764705882,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.0625,0.0,0.0,0.0
7,0.0,0.15789473684210525,0.25,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.03571428571428571
8,0.0,0.04,0.043478260869565216,0.20833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.01818181818181818,0.0,0.0,0.07407407407407407,0.0,0.0
9,0.0,0.0,0.0,0.0,0.4375,0.0,0.037037037037037035,0.045454545454545456,0.0,0.058823529411764705,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.22580645161290322,0.08571428571428572,0.13793103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.027777777777777776,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.037037037037037035,0.35294117647058826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.045454545454545456,0.058823529411764705,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
13,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.07142857142857142,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.05555555555555555,0.07692307692307693,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.06666666666666667,0.08333333333333333,0.09523809523809523,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
16,0.0,0.030303030303030304,0.03225806451612903,0.027777777777777776,0.03125,0.0,0.02702702702702703,0.03125,0.0,0.037037037037037035,0.22580645161290322,0.06896551724137931,0.0,0.0,0.05555555555555555,0.0,0.0,0.018867924528301886,0.0,0.0,0.0,0.058823529411764705,0.07142857142857142,0.027777777777777776,0.0,0.0
