it.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,0.0,0.0,0.0,0.0,0.0,0.14433756729740646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22360679774997896,0.0,0.0,0.0,0.0
2,0.08703882797784893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.09534625892455924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09128709291752768,0.0,0.0
4,0.07106690545187015,0.0,0.0,0.10540925533894598,0.039283710065919304,0.06804138174397717,0.0,0.07453559924999299,0.0,0.04376881095324086,0.0890870806374748,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0
5,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.45226701686664544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07216878364870323,0.0,0.0
7,0.07537783614444091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07216878364870323,0.0,0.05212860351426869
8,0.0,0.24174688920761409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07715167498104597,0.0,0.0
9,0.0,0.10050378152592121,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.06804138174397717,0.0,0.0,0.0,0.0,0.07580980435789035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.13834289277321493,0.0,0.0,0.0,0.03823595564509362,0.0,0.0,0.07254762501100116,0.0,0.042601432284230495,0.0,0.0,0.0,0.0,0.05263157894736841,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.12309149097933275,0.0,0.0,0.0,0.06804138174397717,0.0,0.0,0.3872983346207417,0.0,0.07580980435789035,0.0,0.0,0.08164965809277261,0.0,0.0,0.0,0.07216878364870323,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6804138174397718,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.09622504486493763,0.0,0.0
15,0.0,0.0,0.0,0.11180339887498948,0.0,0.0,0.0,0.07905694150420949,0.0,0.18569533817705186,0.0,0.0,0.0,0.0,0.0,0.07216878364870323,0.0,0.05212860351426869
16,0.0,0.0,0.0,0.0,0.0629940788348712,0.1091089451179962,0.0,0.11952286093343936,0.0,0.07018624063435965,0.0,0.0,0.07559289460184544,0.0,0.0,0.0,0.0,0.07881104062391006
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.050964719143762556,0.0,0.0,0.0,0.5916079783099616,0.048795003647426664,0.0,0.05345224838248487,0.0,0.06277648205743445,0.06388765649999399,0.09376144618769908,0.033806170189140665,0.15118578920369088,0.11633501014942217,0.0,0.02988071523335984,0.03524536884251207
19,0.0,0.0,0.0,0.0,0.21081851067789195,0.6390096504226938,0.0,0.0,0.0,0.17616606585441102,0.0,0.08770580193070293,0.0,0.14142135623730948,0.07254762501100116,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.22360679774997896,0.0,0.0,0.0,0.47809144373375745,0.0,0.0,0.0,0.0,0.09128709291752768,0.11180339887498948,0.0
21,0.0,0.0,0.07930515857181447,0.0,0.2518277005725967,0.15861031714362894,0.0,0.04343722427630696,0.05607721540920447,0.12753608187321192,0.05191741316511654,0.4190666247677029,0.2472490151076404,0.36857707010037094,0.44117744416427834,0.0,0.0,0.0
22,0.0,0.08058229640253803,0.0,0.0,0.0445435403187374,0.07715167498104597,0.0,0.0,0.0,0.09925833339709303,0.0,0.0,0.0,0.0,0.061313933948496574,0.3857583749052298,0.0,0.0
23,0.10660035817780521,0.0,0.0,0.0,0.05892556509887895,0.0,0.0,0.33541019662496846,0.0,0.13130643285972254,0.0,0.0,0.07071067811865475,0.0,0.0,0.0,0.062499999999999986,0.0
24,0.1421338109037403,0.0,0.0,0.10540925533894598,0.0,0.0,0.0,0.14907119849998599,0.0,0.04376881095324086,0.1781741612749496,0.06537204504606135,0.0,0.0,0.0,0.0,0.4166666666666667,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3195048252113468,0.0
26,0.0,0.0,0.0,0.2051956704170308,0.03823595564509362,0.06622661785325219,0.0,0.0,0.0,0.042601432284230495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14350946197048195
