it.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
1,0.09128709291752769,0.1632993161855452,0.27386127875258304,0.1556997888323046,0.0,0.0,0.03892494720807615,0.04188539082916955,0.06085806194501846,0.0,0.0816496580927726,0.06085806194501846,0.05773502691896257,0.05270462766947299,0.0,0.06085806194501846,0.0,0.0,0.06454972243679027,0.0,0.10540925533894598,0.07453559924999299,0.0,0.07968190728895957,0.14907119849998599,0.05270462766947299,0.05773502691896257,0.0,0.0,0.0,0.0,0.04564354645876384,0.12909944487358055,0.0,0.0,0.0,0.1675415633166782,0.09759000729485333,0.08885233166386386,0.0,0.0,0.0,0.0,0.0,0.0,0.06900655593423542,0.05270462766947299,0.0,0.04303314829119352,0.0,0.04428074427700476,0.0,0.04428074427700476
2,0.24056261216234406,0.0,0.0,0.0,0.0,0.0,0.12309149097933272,0.06622661785325219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19245008972987526,0.0,0.23570226039551587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08703882797784893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08944271909999159,0.0,0.06324555320336758,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.14547859349066158,0.19518001458970666,0.0,0.09304842103984709,0.0,0.0,0.0,0.2503130871608794,0.29095718698132317,0.058321184351980436,0.29277002188455997,0.21821789023599236,0.06900655593423542,0.0,0.0,0.21821789023599236,0.0,0.0,0.0,0.0,0.0,0.17817416127494962,0.0,0.09523809523809523,0.0,0.18898223650461363,0.20701966780270628,0.0,0.0,0.1315903389919538,0.0,0.1091089451179962,0.0,0.0,0.0657951694959769,0.0,0.05006261743217588,0.23328473740792174,0.10619884881071831,0.0,0.0,0.0,0.08247860988423225,0.10012523486435176,0.0657951694959769,0.0,0.06299407883487121,0.0,0.051434449987363975,0.0545544725589981,0.05292561240249631,0.09759000729485333,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0778498944161523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08377078165833911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.07537783614444091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08703882797784893,0.0,0.0,0.0,0.0,0.0,0.0,0.08703882797784893,0.0,0.0,0.0,0.12309149097933275,0.08703882797784893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04891159880445185,0.0,0.0,0.0,0.0,0.0,0.0,0.11396057645963795,0.08703882797784893,0.0,0.0,0.0,0.0,0.0,0.0
7,0.029012942659282972,0.1556997888323046,0.0,0.07422696190252055,0.0,0.0,0.0,0.03993615319154358,0.058025885318565944,0.046524210519923545,0.0778498944161523,0.058025885318565944,0.0,0.10050378152592121,0.0,0.058025885318565944,0.0,0.0,0.06154574548966636,0.0,0.050251890762960605,0.07106690545187015,0.0,0.07597371763975863,0.0,0.10050378152592121,0.055048188256318034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03993615319154358,0.09304842103984709,0.028239124736245257,0.0,0.0,0.0,0.0,0.0,0.0,0.1315903389919538,0.050251890762960605,0.0,0.0,0.0,0.0,0.0,0.04222003309207491
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.05,0.08528028654224416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05773502691896258,0.0,0.0,0.0,0.08164965809277261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0625,0.21320071635561041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07905694150420949,0.07216878364870323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0545544725589981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
