de.en,1,2,3,4,5,6,7,8,9,10,11
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.26666666666666666,0.0,0.038461538461538464,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.15789473684210525,0.0,0.0,0.0625,0.0,0.0,0.041666666666666664,0.0,0.0
7,0.0,0.0,0.3333333333333333,0.14285714285714285,0.07692307692307693,0.11764705882352941,0.0,0.05555555555555555,0.08,0.0,0.0
8,0.0,0.0,0.1111111111111111,0.2,0.1111111111111111,0.07142857142857142,0.0,0.0,0.09523809523809523,0.0,0.0
9,0.0,0.0,0.05555555555555555,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.045454545454545456,0.0,0.08333333333333333,0.2,0.06666666666666667,0.125,0.13043478260869565,0.0,0.0
11,0.0,0.02564102564102564,0.05714285714285714,0.11538461538461539,0.0,0.18518518518518517,0.30434782608695654,0.23076923076923078,0.17647058823529413,0.0,0.0
12,0.0,0.0,0.034482758620689655,0.047619047619047616,0.05263157894736842,0.13636363636363635,0.15,0.08695652173913043,0.5,0.0,0.0
