de.fr,1,2,3,4,5,6,7,8,9,10,11
1,0.14907119849998599,0.19518001458970666,0.0,0.15811388300841897,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11547005383792514,0.0
4,0.07106690545187015,0.2326210525996177,0.04264014327112208,0.0,0.08058229640253803,0.0,0.0,0.047673129462279605,0.0,0.0,0.09534625892455921
5,0.15294382258037448,0.3504383220252312,0.0,0.08111071056538126,0.0,0.05407380704358752,0.0,0.0,0.0,0.0,0.0
6,0.13608276348795434,0.0,0.24494897427831783,0.14433756729740646,0.0,0.09622504486493764,0.0,0.0,0.07856742013183861,0.0,0.0
7,0.1178511301977579,0.0,0.4242640687119285,0.0,0.26726124191242434,0.16666666666666666,0.0,0.07905694150420949,0.1360827634879543,0.09128709291752767,0.31622776601683794
8,0.0,0.0,0.2,0.17677669529663687,0.1889822365046136,0.11785113019775793,0.0,0.0,0.19245008972987526,0.2581988897471611,0.22360679774997896
9,0.0,0.0,0.11547005383792516,0.0,0.2182178902359924,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.07559289460184544,0.0,0.14285714285714285,0.1781741612749496,0.1259881576697424,0.16903085094570328,0.21821789023599236,0.0975900072948533,0.0
11,0.0,0.047619047619047616,0.08728715609439695,0.1543033499620919,0.0,0.2057377999494559,0.4364357804719847,0.29277002188455997,0.25197631533948484,0.1690308509457033,0.0
12,0.0,0.0,0.05345224838248487,0.0944911182523068,0.10101525445522107,0.12598815766974242,0.1781741612749496,0.11952286093343936,0.5143444998736397,0.13801311186847084,0.0
