it.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.6537204504606136,0.1860521018838127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.10814761408717503,0.6668859288553501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.07106690545187015,0.0,0.502518907629606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25819888974716115,0.21081851067789195,0.062017367294604234,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1543033499620919,0.629940788348712,0.0,0.11952286093343936,0.1091089451179962,0.11396057645963795,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10540925533894598,0.17213259316477406,0.5570066518960167,0.0,0.07453559924999299,0.1556997888323046,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10540925533894598,0.31008683647302115,0.29999999999999993,0.09128709291752768,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1178511301977579,0.20801257358446093,0.6708203932499369,0.20412414523193148,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.24514516892273006,0.15811388300841897,0.36084391824351614,0.22613350843332272,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1178511301977579,0.0,0.0,0.0,0.31980107453341566,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
