it.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.2631806779839076,0.0,0.13957263155977062,0.13055824196677338,0.0,0.0,0.0,0.10050378152592121,0.0,0.0,0.1340050420345616,0.055048188256318034,0.0524863881081478,0.1049727762162956,0.0
3,0.3144854510165755,0.0,0.6671243849949912,0.1386750490563073,0.0,0.09245003270420486,0.0,0.08006407690254358,0.0,0.0,0.21350420507344953,0.08770580193070293,0.08362420100070908,0.0,0.0
4,0.08671099695241198,0.0,0.12262786789699315,0.6882472016116852,0.0,0.0,0.0,0.13245323570650439,0.16222142113076252,0.21764287503300347,0.08830215713766958,0.14509525002200233,0.13834289277321493,0.0,0.3348554112644579
5,0.0,0.0,0.08058229640253803,0.0,0.30151134457776363,0.0,0.0,0.08703882797784893,0.0,0.0,0.11605177063713189,0.09534625892455924,0.09090909090909091,0.0,0.0
6,0.0,0.0,0.0,0.07905694150420949,0.0,0.0,0.0,0.0,0.33541019662496846,0.19999999999999996,0.0,0.0,0.0,0.0,0.0659380473395787
7,0.0,0.0,0.0,0.0944911182523068,0.0,0.0,0.0,0.1091089451179962,0.26726124191242434,0.7171371656006361,0.07273929674533079,0.11952286093343936,0.11396057645963795,0.11396057645963795,0.0
8,0.0975900072948533,0.0,0.13801311186847084,0.19364916731037085,0.0,0.0,0.0,0.0,0.09128709291752767,0.1632993161855452,0.49690399499995325,0.0,0.0778498944161523,0.1556997888323046,0.1076763804116331
9,0.0,0.0,0.0,0.07905694150420949,0.0,0.0,0.0,0.18257418583505536,0.0,0.0,0.30429030972509225,0.29999999999999993,0.09534625892455924,0.0,0.0659380473395787
10,0.0,0.0,0.0,0.17677669529663687,0.0,0.0,0.0,0.30618621784789724,0.0,0.11180339887498948,0.20412414523193148,0.6708203932499369,0.21320071635561041,0.0,0.07372097807744857
11,0.0944911182523068,0.0,0.0668153104781061,0.0625,0.0,0.0,0.0,0.14433756729740646,0.0,0.07905694150420949,0.24056261216234406,0.15811388300841897,0.5276448530110863,0.3768891807222045,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11180339887498948,0.06804138174397716,0.0,0.0,0.31980107453341566,0.0
13,0.08671099695241198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
