it.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.08823529411764706,0.0,0.05128205128205128,0.06976744186046512,0.0,0.0,0.0,0.05,0.0,0.0,0.0625,0.02564102564102564,0.025,0.05128205128205128,0.0
3,0.13333333333333333,0.0,0.4,0.04,0.0,0.05555555555555555,0.0,0.047619047619047616,0.0,0.0,0.06896551724137931,0.05263157894736842,0.05,0.0,0.0
4,0.045454545454545456,0.0,0.038461538461538464,0.5238095238095238,0.0,0.0,0.0,0.07692307692307693,0.043478260869565216,0.13043478260869565,0.05714285714285714,0.08333333333333333,0.08,0.0,0.2222222222222222
5,0.0,0.0,0.047619047619047616,0.0,0.17647058823529413,0.0,0.0,0.045454545454545456,0.0,0.0,0.03225806451612903,0.05,0.047619047619047616,0.0,0.0
6,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.2,0.1111111111111111,0.0,0.0,0.0,0.0,0.038461538461538464
7,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.05555555555555555,0.15384615384615385,0.5454545454545454,0.037037037037037035,0.0625,0.058823529411764705,0.058823529411764705,0.0
8,0.047619047619047616,0.0,0.04,0.10714285714285714,0.0,0.0,0.0,0.0,0.045454545454545456,0.08695652173913043,0.3333333333333333,0.0,0.04,0.08333333333333333,0.06666666666666667
9,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.1,0.0,0.0,0.19230769230769232,0.17647058823529413,0.05,0.0,0.038461538461538464
10,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.17647058823529413,0.0,0.058823529411764705,0.11538461538461539,0.5,0.11764705882352941,0.0,0.041666666666666664
11,0.045454545454545456,0.0,0.038461538461538464,0.03225806451612903,0.0,0.0,0.0,0.07692307692307693,0.0,0.04,0.08823529411764706,0.08333333333333333,0.35,0.22727272727272727,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.03571428571428571,0.0,0.0,0.1875,0.0
13,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
