fr.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.649519052838329,0.13245323570650439,0.40414518843273806,0.0,0.0,0.0,0.0,0.2182178902359924,0.0,0.23145502494313788,0.0,0.3273268353539886,0.28867513459481287,0.0,0.0,0.0,0.0,0.0
5,0.125,0.8029550685469661,0.19999999999999996,0.0,0.0,0.05892556509887897,0.0,0.2834733547569204,0.0,0.1336306209562122,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
6,0.3127716210856122,0.19134594929397594,0.8340576562282991,0.0,0.0,0.0,0.0,0.15762208124782012,0.0,0.05572782125753529,0.0,0.07881104062391006,0.06950480468569159,0.0,0.0,0.0,0.0,0.0
7,0.08838834764831843,0.0,0.07071067811865475,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.6030226891555273,0.23570226039551584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.06622661785325219,0.0,0.0,0.08703882797784893,0.6123724356957946,0.0,0.0,0.06454972243679027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.8164965809277261,0.0,0.0,0.1336306209562122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.14708710135363803,0.13497638119975425,0.19611613513818402,0.0,0.11826247919781652,0.09245003270420486,0.0,0.22237479499833035,0.4823819106188661,0.10482848367219183,0.0,0.0,0.1307440900921227,0.0,0.0,0.0,0.0,0.0
12,0.20801257358446093,0.19088542889273333,0.055470019622522904,0.0,0.0,0.0,0.11322770341445959,0.3144854510165755,0.0,0.592999453328881,0.12403473458920847,0.10482848367219183,0.2773500981126146,0.0,0.0,0.0,0.0,0.0
13,0.05212860351426869,0.0,0.0,0.07372097807744857,0.0,0.0,0.0,0.0,0.0,0.11145564251507058,0.6527533657682196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.21650635094610968,0.0,0.05773502691896257,0.0,0.0,0.0,0.0,0.0,0.0,0.07715167498104597,0.0,0.3273268353539886,0.09622504486493763,0.0,0.0,0.0,0.0,0.0
