fr.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.375,0.07692307692307693,0.18181818181818182,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.15,0.0,0.14285714285714285,0.2,0.0,0.0,0.0,0.0,0.0
5,0.07407407407407407,0.6666666666666666,0.13793103448275862,0.0,0.0,0.03333333333333333,0.0,0.15,0.0,0.07142857142857142,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.0
6,0.12,0.13333333333333333,0.6,0.0,0.0,0.0,0.0,0.1,0.0,0.03571428571428571,0.0,0.047619047619047616,0.043478260869565216,0.0,0.0,0.0,0.0,0.0
7,0.05,0.0,0.041666666666666664,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.4166666666666667,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.03333333333333333,0.0,0.0,0.05263157894736842,0.42105263157894735,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.1111111111111111,0.09090909090909091,0.0967741935483871,0.0,0.041666666666666664,0.03225806451612903,0.0,0.14285714285714285,0.21739130434782608,0.06896551724137931,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0
12,0.13043478260869565,0.10344827586206896,0.034482758620689655,0.0,0.0,0.0,0.05555555555555555,0.17647058823529413,0.0,0.42105263157894735,0.038461538461538464,0.05263157894736842,0.15789473684210525,0.0,0.0,0.0,0.0,0.0
13,0.043478260869565216,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.1,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.23076923076923078,0.058823529411764705,0.0,0.0,0.0,0.0,0.0
