it.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1,0.0,0.0,0.20412414523193154,0.47140452079103173,0.20412414523193154,0.29793978576556207,0.0,0.0,0.0,0.0,0.08006407690254358,0.11322770341445959,0.042562826537937436,0.11785113019775793,0.1543033499620919,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666669,0.08333333333333334,0.22821773229381923,0.3273268353539886,0.0,0.0,0.0,0.0,0.0,0.0,0.07715167498104596,0.0,0.2946278254943948,0.0,0.31622776601683794
2,0.0,0.0,0.12403473458920847,0.1432229748078866,0.09302605094190634,0.07758909001678077,0.0,0.0,0.0,0.0,0.024325212770526,0.06880209161537815,0.12931515002796795,0.0716114874039433,0.04688072309384954,0.0716114874039433,0.0,0.0,0.0,0.0,0.0,0.10127393670836667,0.05063696835418333,0.08320502943378437,0.13259870882635919,0.0,0.0,0.0,0.0,0.0,0.0,0.04688072309384954,0.0,0.10741723110591495,0.0,0.12810252304406972
3,0.0,0.0,0.0,0.16666666666666669,0.07216878364870323,0.09028938981432692,0.10206207261596574,0.09622504486493763,0.04166666666666667,0.0,0.14153462926807447,0.08006407690254358,0.0,0.04166666666666667,0.0545544725589981,0.0,0.0,0.08333333333333334,0.0,0.0,0.0,0.05892556509887897,0.0,0.03227486121839514,0.038575837490522985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333337,0.0,0.1118033988749895
4,0.0,0.0,0.06444909926971087,0.16744367165578422,0.19334729780913262,0.04031569851219003,0.17089648175616573,0.06444909926971087,0.05581455721859473,0.0,0.11375557435721571,0.18768712206010146,0.1209470955365701,0.05581455721859473,0.21923522857256078,0.05581455721859473,0.05581455721859473,0.05581455721859473,0.06835859270246629,0.06835859270246629,0.07893370379638581,0.23680111138915746,0.039466851898192906,0.15131819540849087,0.15502271679864046,0.0,0.034179296351233145,0.0,0.07488308644489765,0.0,0.03653920476209346,0.0,0.06444909926971087,0.30698006470227107,0.0,0.1747272017047612
5,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193148,0.09622504486493763,0.08333333333333334,0.0,0.0,0.0,0.06019292654288461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23570226039551587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0890870806374748,0.0,0.0,0.15724272550828775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0944911182523068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09622504486493763,0.0,0.0,0.11322770341445959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.19611613513818402,0.0,0.0,0.0,0.0,0.0,0.18490006540840973,0.0,0.0,0.10878565864408424,0.0,0.0,0.0,0.0,0.0,0.16012815380508716,0.0,0.0,0.0,0.0,0.0,0.0,0.062017367294604234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.09622504486493763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13608276348795434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062017367294604234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
