it.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0.4276686017238499,0.23596995186213474,0.21938172723813917,0.0,0.0,0.0,0.050251890762960605,0.07106690545187015,0.0,0.04351941398892446,0.0,0.1709408646894569,0.01962671679947149,0.23210354127426377,0.03892494720807615,0.0,0.0,0.1685499656158105,0.2849014411490949,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.11664236870396087,0.23904572186687872,0.06482037235521644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10286889997472794,0.0,0.0,0.0,0.0,0.20203050891044214,0.0
4,0.37408781183312984,0.09583148474999098,0.34647946433761856,0.0,0.0,0.0,0.047619047619047616,0.16835875742536846,0.0,0.0,0.0,0.26997462357801943,0.0,0.30242156957551825,0.07377111135633174,0.0,0.0,0.15971914124998496,0.3239695482936233,0.0
5,0.13801311186847084,0.21213203435596423,0.0,0.0,0.0,0.0,0.10540925533894598,0.0,0.0,0.0,0.0,0.11952286093343936,0.0,0.06085806194501844,0.0,0.0,0.0,0.0,0.11952286093343936,0.0
6,0.08908708063747481,0.09128709291752768,0.09901475429766744,0.0,0.0,0.0,0.0,0.04811252243246882,0.0,0.0,0.0,0.07715167498104596,0.0,0.11785113019775792,0.0,0.0,0.0,0.22821773229381923,0.1543033499620919,0.0
7,0.35634832254989923,0.18257418583505536,0.2970442628930023,0.0,0.0,0.0,0.0,0.09622504486493764,0.0,0.0,0.0,0.1543033499620919,0.0,0.31426968052735443,0.0,0.0,0.0,0.09128709291752768,0.4629100498862757,0.0
8,0.329914439536929,0.16903085094570328,0.27500954910846337,0.0,0.0,0.0,0.1259881576697424,0.0890870806374748,0.0,0.0,0.0,0.14285714285714285,0.0,0.29095718698132317,0.0,0.0,0.0,0.08451542547285164,0.4285714285714285,0.0
9,0.03688555567816588,0.11338934190276816,0.0,0.1126872339638022,0.14638501094227999,0.0,0.0563436169819011,0.0,0.03877833671647406,0.0,0.06900655593423542,0.19166296949998196,0.0880237696271323,0.1301200097264711,0.0,0.10192943828752511,0.11952286093343936,0.0,0.06388765649999399,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0936585811581694,0.0,0.0,0.0,0.0,0.0,0.10540925533894598,0.0,0.0,0.09128709291752768,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.43643578047198484,0.15971914124998496,0.41577535720514225,0.047619047619047616,0.041239304942116126,0.0,0.09523809523809523,0.16835875742536846,0.0,0.0,0.0,0.21597969886241553,0.03719683170880682,0.30242156957551825,0.03688555567816587,0.0430730492253948,0.0,0.12777531299998798,0.43195939772483105,0.0
13,0.0,0.10846522890932808,0.0,0.08084520834544433,0.0700140042014005,0.0,0.0,0.0,0.0,0.0,0.09901475429766744,0.09166984970282112,0.03157544889753363,0.04667600280093366,0.0,0.0,0.0,0.0,0.09166984970282112,0.0
14,0.06299407883487121,0.06454972243679027,0.0700140042014005,0.09622504486493763,0.0,0.0,0.09622504486493763,0.0,0.06622661785325219,0.08333333333333334,0.0,0.0,0.11274690420042435,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.09759000729485333,0.0,0.10846522890932808,0.14907119849998599,0.0,0.0,0.14907119849998599,0.0,0.1025978352085154,0.0,0.0,0.0,0.0,0.08606629658238703,0.0,0.0,0.0,0.0,0.16903085094570328,0.0
16,0.0,0.0,0.05564148840746571,0.07647191129018724,0.19867985355975656,0.0,0.0,0.0,0.0,0.0,0.0936585811581694,0.17342199390482396,0.11946953821789978,0.04415107856883479,0.05923488777590923,0.06917144638660747,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.1259881576697424,0.2182178902359924,0.0,0.0,0.0,0.08671099695241198,0.0545544725589981,0.1543033499620919,0.14285714285714285,0.2214305240873053,0.036369648372665396,0.0,0.11396057645963795,0.0,0.0,0.0,0.0
18,0.0657951694959769,0.06741998624632421,0.0,0.20100756305184242,0.17407765595569785,0.0,0.0,0.0,0.0,0.0,0.12309149097933275,0.11396057645963795,0.03925343359894298,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.5039526306789697,0.12909944487358055,0.420084025208403,0.0,0.0,0.0,0.09622504486493763,0.20412414523193154,0.0,0.0,0.0,0.2182178902359924,0.0,0.2777777777777778,0.0,0.0,0.0,0.12909944487358055,0.3273268353539886,0.0
20,0.22750787759664506,0.23312620206007845,0.20228869496966947,0.06950480468569159,0.0,0.0,0.20851441405707477,0.09829463743659811,0.047836487323493986,0.0,0.0,0.07881104062391006,0.0,0.12038585308576921,0.0,0.0,0.0,0.04662524041201569,0.15762208124782012,0.0
21,0.19047619047619047,0.0,0.21170244960998524,0.0,0.0,0.0,0.0,0.10286889997472795,0.2503130871608794,0.12598815766974242,0.17817416127494962,0.24743582965269675,0.22727639589085447,0.1679842102263232,0.0563436169819011,0.0,0.0,0.09759000729485333,0.1649572197684645,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.09245003270420486,0.0,0.12725695259515554,0.0,0.0,0.10482848367219183,0.0,0.0,0.0716114874039433,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26726124191242434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.06063390625908324,0.16666666666666666,0.0,0.0,0.25,0.0,0.3441236008058426,0.07216878364870323,0.20412414523193154,0.0944911182523068,0.13018891098082389,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.04662524041201569,0.0,0.0,0.0,0.0,0.0,0.049147318718299055,0.0,0.06019292654288461,0.0,0.0,0.05429252897979032,0.08025723539051281,0.05383819020581655,0.0,0.0,0.0,0.15762208124782012,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07106690545187015,0.0,0.08703882797784893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.09759000729485333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08606629658238703,0.11547005383792514,0.0,0.0,0.0,0.16903085094570328,0.0
29,0.0,0.0,0.10846522890932808,0.29814239699997197,0.0,0.0,0.29814239699997197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.12909944487358055,0.0,0.0,0.0,0.0,0.12909944487358055,0.0,0.0,0.1164445019479164,0.0,0.11547005383792514,0.13483997249264842,0.0,0.0,0.0,0.0
31,0.0,0.0,0.08574929257125441,0.1178511301977579,0.10206207261596574,0.0,0.4714045207910316,0.0,0.08111071056538126,0.0,0.0,0.26726124191242434,0.04602873089491617,0.1360827634879543,0.09128709291752767,0.0,0.0,0.0,0.0,0.0
32,0.15877683720748895,0.0,0.17647058823529413,0.08084520834544433,0.2100420126042015,0.0,0.0,0.1143323900950059,0.11128297681493142,0.140028008402801,0.19802950859533489,0.09166984970282112,0.25260359118026904,0.09335200560186732,0.06262242910851494,0.14625448482542613,0.0,0.05423261445466404,0.09166984970282112,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.1259881576697424,0.0,0.17342199390482396,0.1091089451179962,0.1543033499620919,0.0,0.19682713252204917,0.0,0.0,0.0,0.0,0.0,0.0,0.0
