de.it,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,0.30999370331685144,0.15811388300841897,0.0,0.16412198797244365,0.12598815766974242,0.19245008972987535,0.0,0.0,0.1091089451179962,0.0,0.0,0.0,0.0,0.0,0.0,0.11111111111111113
2,0.15949044456578002,0.16269784336399212,0.0,0.25332019855244947,0.25928148942086576,0.26403934479377994,0.036986336072765455,0.0,0.11227217828476796,0.0,0.0,0.07312724241271307,0.0,0.0,0.0,0.1143323900950059
3,0.2684624220856098,0.18257418583505536,0.0,0.0,0.0,0.055555555555555566,0.0,0.0,0.06299407883487121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.24854790640048002,0.5070925528371099,0.0,0.0657951694959769,0.10101525445522107,0.10286889997472794,0.0,0.0,0.11664236870396086,0.0,0.0,0.0,0.0,0.0975900072948533,0.16903085094570328,0.0890870806374748
5,0.13678822577626598,0.12403473458920847,0.16724840200141816,0.1448413648755803,0.07412493166611013,0.11322770341445962,0.04229549344378136,0.0,0.1283881477532739,0.0,0.04441155916843276,0.08362420100070908,0.0,0.0,0.062017367294604234,0.06537204504606135
6,0.0,0.04564354645876384,0.0,0.21320071635561047,0.0,0.027777777777777794,0.0,0.0,0.031497039417435604,0.0,0.032686022523030676,0.0,0.0,0.05270462766947299,0.0,0.0
7,0.0,0.0,0.0,0.0,0.1091089451179962,0.0,0.0,0.0,0.25197631533948484,0.13608276348795434,0.06537204504606135,0.0,0.0,0.0,0.0,0.0
8,0.0949157995752499,0.0,0.0,0.30151134457776363,0.0,0.07856742013183862,0.0880450906325624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.07974522228289001,0.0,0.0,0.0,0.19446111706564934,0.06600983619844498,0.07397267214553091,0.0,0.0,0.0,0.03883678186903087,0.07312724241271307,0.0,0.0,0.0,0.05716619504750295
10,0.08219949365267865,0.11180339887498948,0.0,0.26111648393354675,0.1336306209562122,0.2721655269759087,0.15249857033260467,0.0,0.07715167498104596,0.0,0.0,0.0,0.0,0.0,0.0,0.3535533905932738
11,0.10397504898200728,0.0,0.0,0.0,0.0,0.043033148291193535,0.2893456933022473,0.0,0.0,0.0,0.0,0.0,0.29814239699997197,0.0,0.0,0.29814239699997197
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0524863881081478,0.0,0.0,0.36784039189736234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07106690545187015
14,0.12427395320024001,0.0,0.0,0.0657951694959769,0.30304576336566325,0.05143444998736397,0.230556167081694,0.0,0.05832118435198043,0.0,0.0,0.0,0.0890870806374748,0.0975900072948533,0.08451542547285164,0.0890870806374748
15,0.03771571432023572,0.051298917604257706,0.06917144638660747,0.11980845957463077,0.06131393394849658,0.0624390541054463,0.0,0.0,0.10619884881071831,0.0,0.0,0.0,0.0,0.0,0.0,0.054073807043587524
16,0.05812381937190964,0.0,0.10660035817780521,0.0,0.0944911182523068,0.0,0.053916386601719206,0.0,0.0,0.0,0.05661385170722978,0.0,0.16666666666666666,0.09128709291752767,0.07905694150420949,0.0
17,0.0,0.0,0.13483997249264842,0.0778498944161523,0.0,0.06085806194501846,0.0,0.0,0.0,0.07453559924999299,0.0,0.0,0.0,0.0,0.0,0.0
18,0.04393747751637469,0.0,0.0,0.09304842103984709,0.0,0.07273929674533083,0.0,0.0,0.041239304942116126,0.0,0.25677629550654774,0.0,0.0,0.3450327796711771,0.0,0.0
