it.fr,1,2,3,4,5,6
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.25012215979228897,0.0,0.12309149097933274,0.0,0.0
5,0.0,0.1440046082211958,0.11952286093343936,0.12598815766974242,0.0,0.061313933948496574
6,0.0,0.21997067253203,0.0,0.2566001196398338,0.029012942659282986,0.0
7,0.0,0.0,0.06819943394704735,0.1437770309379179,0.19507682662870654,0.34985571427065976
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
