de.it,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,0.1,0.05,0.04,0.11764705882352941,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.02564102564102564,0.0,0.041666666666666664,0.04,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
2,0.02564102564102564,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.15384615384615385,0.1,0.038461538461538464,0.08333333333333333,0.08888888888888889,0.05555555555555555,0.029411764705882353,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.025,0.0,0.04081632653061224,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.07407407407407407
4,0.0625,0.0,0.03125,0.07142857142857142,0.018518518518518517,0.0,0.05128205128205128,0.1,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.06818181818181818,0.05714285714285714,0.044444444444444446,0.0,0.03636363636363636,0.03125,0.0,0.0,0.0,0.07407407407407407,0.0,0.0,0.0,0.029411764705882353
5,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.03333333333333333,0.0,0.05,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.05555555555555555,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
7,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.043478260869565216,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.030303030303030304,0.023255813953488372,0.0,0.038461538461538464,0.034482758620689655,0.0,0.0,0.0,0.08333333333333333,0.029411764705882353,0.03125,0.0,0.0
9,0.0,0.045454545454545456,0.0,0.0,0.02040816326530612,0.0,0.16129032258064516,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.07142857142857142
10,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.05263157894736842,0.0,0.05,0.02702702702702703,0.037037037037037035,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.08333333333333333
11,0.10810810810810811,0.0,0.0,0.06060606060606061,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.027777777777777776,0.0,0.09302325581395349,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.08333333333333333,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.10526315789473684,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.04
13,0.05,0.05555555555555555,0.0,0.0,0.045454545454545456,0.06666666666666667,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
14,0.0,0.0,0.0,0.0,0.06976744186046512,0.0,0.03225806451612903,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.05,0.02702702702702703,0.037037037037037035,0.11764705882352941,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.08333333333333333
15,0.0625,0.0,0.03125,0.022727272727272728,0.03773584905660377,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05714285714285714,0.021739130434782608,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.15789473684210525,0.05,0.0,0.0,0.0,0.0,0.05555555555555555,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216
