it.fr,1,2,3,4,5,6
1,0.18042195912175807,0.21650635094610968,0.15309310892394862,0.07715167498104597,0.10206207261596574,0.10502100630210075
2,0.15075567228888181,0.0,0.0,0.0,0.0,0.0
3,0.0625,0.125,0.0,0.0,0.0,0.0
4,0.11572751247156896,0.07715167498104597,0.27277236279499056,0.0,0.0,0.0
5,0.09375000000000004,0.0,0.0,0.23385358667337144,0.2209708691207962,0.3638034375544996
6,0.0,0.0,0.0,0.0944911182523068,0.12499999999999997,0.17149858514250882
7,0.0,0.0,0.21650635094610968,0.1636634176769943,0.07216878364870323,0.09901475429766744
8,0.0,0.0,0.08838834764831843,0.0,0.0,0.06063390625908324
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.15075567228888181,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.1091089451179962,0.0,0.058321184351980436,0.0,0.0
14,0.0,0.0,0.0,0.30656966974248284,0.0,0.0
15,0.0,0.0,0.06454972243679027,0.048795003647426664,0.0,0.0
16,0.0,0.0,0.07372097807744857,0.0,0.0,0.10114434748483474
17,0.04351941398892446,0.08703882797784893,0.12309149097933272,0.09304842103984709,0.06154574548966636,0.12666009927622474
18,0.07905694150420949,0.0,0.0,0.0,0.0,0.0
19,0.1203858530857692,0.0,0.08512565307587484,0.0,0.0,0.14598929061844595
20,0.0625,0.125,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.06933752452815364,0.1386750490563073,0.0,0.0,0.0,0.0
24,0.0,0.0,0.20412414523193148,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0
26,0.057353933467640436,0.0,0.0,0.0,0.0,0.05564148840746571
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.3333333333333333,0.25197631533948484,0.08333333333333333,0.1143323900950059
