de.fr,1,2,3,4,5,6
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.12598815766974242,0.0,0.0,0.0,0.2773500981126146,0.2946278254943948
3,0.12521758066945235,0.0,0.0,0.0,0.24502555673267556,0.2733040833050606
4,0.0,0.0,0.14744195615489714,0.0,0.0,0.044194173824159216
5,0.20203050891044214,0.0,0.0,0.0,0.3706246583305506,0.5197011503876874
6,0.0,0.0,0.1318760946791574,0.0,0.12403473458920847,0.15811388300841897
7,0.10101525445522107,0.0,0.0,0.0,0.14824986333222023,0.1889822365046136
8,0.16116459280507606,0.12309149097933275,0.0,0.0,0.17739371879672478,0.30151134457776363
9,0.23904572186687872,0.09128709291752768,0.0,0.08451542547285164,0.17541160386140586,0.22360679774997896
10,0.05698028822981897,0.08703882797784893,0.17782168978975482,0.0,0.1254363015010636,0.15990053726670783
11,0.12598815766974242,0.2886751345948129,0.09829463743659811,0.0890870806374748,0.18490006540840973,0.23570226039551587
12,0.0890870806374748,0.0,0.0,0.0,0.1307440900921227,0.16666666666666666
