it.fr,1,2,3,4,5,6
1,0.075,0.05555555555555555,0.0425531914893617,0.02631578947368421,0.057692307692307696,0.07547169811320754
2,0.03571428571428571,0.019230769230769232,0.0,0.0,0.06060606060606061,0.09090909090909091
3,0.05263157894736842,0.09375,0.0,0.09090909090909091,0.0196078431372549,0.018867924528301886
4,0.04878048780487805,0.08571428571428572,0.16666666666666666,0.02631578947368421,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.18604651162790697,0.0392156862745098
7,0.0,0.0,0.0,0.0,0.044444444444444446,0.020833333333333332
8,0.05263157894736842,0.0,0.0,0.06666666666666667,0.0,0.0
9,0.0,0.0,0.0,0.0,0.023255813953488372,0.022222222222222223
10,0.03636363636363636,0.0,0.0,0.0,0.078125,0.05970149253731343
11,0.125,0.0,0.0,0.0,0.07142857142857142,0.06666666666666667
12,0.05,0.0,0.0,0.0,0.038461538461538464,0.09803921568627451
13,0.06451612903225806,0.0,0.0,0.0,0.07142857142857142,0.06818181818181818
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.15,0.125,0.0,0.11764705882352941,0.06060606060606061,0.12121212121212122
