de.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0.03571428571428571,0.18518518518518517,0.043478260869565216,0.03333333333333333,0.03225806451612903,0.0,0.023809523809523808,0.06451612903225806,0.03225806451612903,0.034482758620689655,0.07407407407407407,0.05555555555555555,0.06666666666666667,0.07692307692307693,0.0
2,0.09523809523809523,0.18181818181818182,0.2,0.0,0.04,0.0,0.027777777777777776,0.08,0.04,0.09090909090909091,0.15,0.03225806451612903,0.04,0.1,0.26666666666666666
3,0.05,0.09090909090909091,0.06666666666666667,0.045454545454545456,0.043478260869565216,0.043478260869565216,0.029411764705882353,0.0,0.09090909090909091,0.047619047619047616,0.0,0.034482758620689655,0.0,0.0,0.0625
4,0.037037037037037035,0.06896551724137931,0.045454545454545456,0.07142857142857142,0.03333333333333333,0.03333333333333333,0.05,0.0,0.06896551724137931,0.03571428571428571,0.0,0.027777777777777776,0.03333333333333333,0.0,0.043478260869565216
5,0.058823529411764705,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.06896551724137931,0.030303030303030304,0.08333333333333333,0.03125,0.0625,0.0,0.25,0.0,0.0625,0.06666666666666667,0.0,0.0,0.0967741935483871,0.0,0.0
10,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.06666666666666667,0.06060606060606061,0.08,0.030303030303030304,0.06060606060606061,0.029411764705882353,0.045454545454545456,0.0,0.06060606060606061,0.2692307692307692,0.10344827586206896,0.05128205128205128,0.16666666666666666,0.03333333333333333,0.0
12,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.0,0.043478260869565216,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0
13,0.037037037037037035,0.19230769230769232,0.09523809523809523,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.03571428571428571,0.12,0.027777777777777776,0.10714285714285714,0.125,0.14285714285714285
14,0.05263157894736842,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.05,0.0,0.0,0.0,0.0,0.0
15,0.09090909090909091,0.0,0.11764705882352941,0.08333333333333333,0.125,0.038461538461538464,0.05555555555555555,0.0,0.08,0.08695652173913043,0.0,0.0,0.08,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.038461538461538464,0.038461538461538464,0.0,0.0,0.0,0.08695652173913043,0.0,0.0,0.08,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.034482758620689655,0.0,0.0,0.02857142857142857,0.0,0.0,0.045454545454545456
19,0.0,0.0,0.0,0.0,0.043478260869565216,0.2,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.0
21,0.0,0.07142857142857142,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.125,0.058823529411764705,0.15384615384615385,0.08333333333333333,0.0
22,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.03571428571428571,0.037037037037037035,0.027777777777777776,0.10714285714285714,0.125,0.0
