de.en,1,2,3,4,5
1,0.061313933948496574,0.26315789473684204,0.14509525002200233,0.0,0.0
2,0.12964074471043288,0.33384893044479425,0.0,0.09166984970282112,0.11764705882352941
3,0.0944911182523068,0.16222142113076252,0.0,0.26726124191242434,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.04891159880445184,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.12126781251816648
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.11952286093343936,0.4601789933084222
9,0.0,0.1873171623163388,0.0,0.0,0.0
10,0.0,0.06917144638660747,0.0,0.3418817293789138,0.0
