de.it,1,2,3,4,5,6,7,8
1,0.3504383220252312,0.17040572913692198,0.21629522817435007,0.11128297681493142,0.0,0.0,0.0,0.0
2,0.21170244960998524,0.22518867455552252,0.1143323900950059,0.11764705882352941,0.0,0.0,0.0,0.0
3,0.23145502494313785,0.2626128657194451,0.4166666666666667,0.17149858514250882,0.10660035817780521,0.05103103630798287,0.0,0.0
4,0.0,0.0,0.0,0.07312724241271307,0.2727272727272727,0.13055824196677338,0.04708816093480111,0.0
5,0.0,0.0791807582464896,0.0,0.0,0.12856486930664499,0.06154574548966636,0.16648178955300671,0.08058229640253803
6,0.0,0.0,0.0,0.0,0.0,0.0,0.31234752377721214,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.05521576303742327,0.26726124191242434
8,0.0,0.0,0.0,0.0,0.0,0.0,0.09877295966495896,0.23904572186687872
9,0.17817416127494962,0.22742941307367104,0.09622504486493764,0.19802950859533489,0.0,0.0,0.0,0.0
10,0.1315903389919538,0.1679677532867563,0.1421338109037403,0.07312724241271307,0.0,0.04351941398892446,0.0,0.0
