de.en,1,2,3,4,5,6,7,8,9,10
1,0.5,0.0,0.0,0.0,0.038461538461538464,0.03125,0.03125,0.05555555555555555,0.07407407407407407,0.05263157894736842
2,0.2222222222222222,0.05263157894736842,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.03125,0.047619047619047616
3,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0
4,0.15,0.05,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.030303030303030304,0.046511627906976744
5,0.10526315789473684,0.0,0.0,0.0,0.034482758620689655,0.02857142857142857,0.02857142857142857,0.047619047619047616,0.06666666666666667,0.04878048780487805
6,0.05555555555555555,0.0,0.0,0.125,0.0,0.0,0.0,0.05263157894736842,0.0,0.0
7,0.0,0.0,0.0,0.23076923076923078,0.04,0.0,0.0,0.058823529411764705,0.0,0.0
8,0.15,0.0,0.07692307692307693,0.0,0.10344827586206896,0.05555555555555555,0.05555555555555555,0.043478260869565216,0.0625,0.046511627906976744
9,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.1282051282051282,0.0,0.0,0.0,0.0
11,0.038461538461538464,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
12,0.07142857142857142,0.0,0.0,0.0,0.02631578947368421,0.022727272727272728,0.15384615384615385,0.06896551724137931,0.05128205128205128,0.04
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025
14,0.05,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.047619047619047616,0.10344827586206896,0.023809523809523808
15,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0
16,0.18181818181818182,0.043478260869565216,0.0625,0.0,0.029411764705882353,0.0,0.025,0.038461538461538464,0.05714285714285714,0.043478260869565216
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.07142857142857142,0.058823529411764705,0.02857142857142857,0.0,0.0,0.0
19,0.0,0.0625,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.13157894736842105,0.0,0.0,0.0,0.0
21,0.08695652173913043,0.045454545454545456,0.0,0.0,0.030303030303030304,0.02564102564102564,0.1111111111111111,0.18181818181818182,0.058823529411764705,0.06818181818181818
22,0.09523809523809523,0.05,0.0,0.0,0.03225806451612903,0.0,0.05555555555555555,0.043478260869565216,0.0625,0.07142857142857142
23,0.045454545454545456,0.05,0.0,0.0,0.0,0.0,0.02702702702702703,0.043478260869565216,0.0967741935483871,0.046511627906976744
24,0.0,0.0,0.0,0.0,0.025,0.044444444444444446,0.044444444444444446,0.06451612903225806,0.0,0.0
25,0.12903225806451613,0.0,0.0,0.0,0.0,0.13636363636363635,0.0,0.0,0.045454545454545456,0.03636363636363636
26,0.0,0.0,0.0,0.0,0.029411764705882353,0.05128205128205128,0.05128205128205128,0.08,0.0,0.0
