it.fr,1,2,3,4,5,6,7
1,0.20801257358446093,0.0,0.0,0.0,0.0,0.0,0.0
2,0.09805806756909201,0.0,0.07071067811865475,0.0,0.0,0.0,0.0
3,0.0,0.0,0.13416407864998736,0.13483997249264842,0.06900655593423542,0.0,0.03492151478847891
4,0.08006407690254358,0.0,0.05773502691896258,0.0,0.22271770159368698,0.05184758473652128,0.09016696346674324
5,0.07692307692307693,0.2668802563418119,0.0,0.0,0.0,0.0,0.0
6,0.0,0.31426968052735443,0.040824829046386304,0.0,0.0,0.0,0.0
7,0.0,0.3202563076101743,0.0,0.0,0.0,0.0,0.0
8,0.0,0.09335200560186732,0.0,0.07312724241271307,0.0,0.0,0.0
9,0.0,0.16051447078102563,0.0834057656228299,0.06286946134619316,0.03217447260438935,0.0,0.0
10,0.11094003924504582,0.0,0.04,0.0,0.09258200997725516,0.10776318121606494,0.15617376188860607
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.056613851707229795,0.0,0.040824829046386304,0.0,0.031497039417435604,0.036661778755338326,0.31878835653166915
15,0.0,0.0,0.0,0.0,0.0,0.0,0.17325923272968402
