de.en,1,2,3,4,5,6
1,0.1,0.058823529411764705,0.0,0.0625,0.11538461538461539,0.0
2,0.0,0.0,0.0,0.03225806451612903,0.125,0.09090909090909091
3,0.0,0.0,0.0,0.0,0.125,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.04,0.0,0.05,0.08823529411764706,0.047619047619047616
6,0.05,0.0,0.0,0.03125,0.12,0.0
7,0.0,0.0,0.10344827586206896,0.0,0.0,0.0
8,0.047619047619047616,0.058823529411764705,0.0,0.0,0.0,0.0
9,0.04,0.0,0.0,0.02702702702702703,0.06451612903225806,0.0
10,0.06896551724137931,0.0,0.05,0.075,0.02702702702702703,0.0
11,0.0,0.0,0.030303030303030304,0.0,0.0,0.0
12,0.05555555555555555,0.0,0.0,0.10714285714285714,0.08333333333333333,0.0
13,0.04,0.047619047619047616,0.0,0.0,0.03125,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
16,0.0,0.0,0.0,0.0,0.043478260869565216,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.04,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.05555555555555555,0.0,0.034482758620689655,0.10714285714285714,0.04,0.0
22,0.05555555555555555,0.0,0.034482758620689655,0.06896551724137931,0.04,0.0
23,0.14285714285714285,0.05263157894736842,0.0,0.02857142857142857,0.06896551724137931,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.03333333333333333,0.0,0.0,0.0
26,0.0625,0.08333333333333333,0.0,0.0,0.0,0.0
