de.fr,1,2,3,4,5,6,7
1,0.10526315789473684,0.058823529411764705,0.0,0.08,0.0,0.07692307692307693,0.0
2,0.0,0.0,0.0,0.041666666666666664,0.0,0.04,0.09090909090909091
3,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.06060606060606061,0.0,0.058823529411764705,0.047619047619047616
6,0.1111111111111111,0.0,0.0,0.04,0.0,0.08,0.0
7,0.0,0.0,0.11538461538461539,0.0,0.0,0.038461538461538464,0.0
8,0.05,0.0,0.0,0.0,0.0,0.0,0.0
9,0.041666666666666664,0.0,0.0,0.03333333333333333,0.0,0.06666666666666667,0.0
10,0.07142857142857142,0.0,0.08333333333333333,0.058823529411764705,0.038461538461538464,0.027777777777777776,0.0
11,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0
12,0.058823529411764705,0.0,0.0,0.14285714285714285,0.0,0.08695652173913043,0.0
13,0.041666666666666664,0.047619047619047616,0.0,0.0,0.0,0.03225806451612903,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.15,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.058823529411764705,0.0,0.038461538461538464,0.043478260869565216,0.07142857142857142,0.041666666666666664,0.0
22,0.058823529411764705,0.0,0.038461538461538464,0.043478260869565216,0.07142857142857142,0.041666666666666664,0.0
23,0.15,0.0,0.0,0.03571428571428571,0.0,0.07142857142857142,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.037037037037037035,0.0,0.0,0.04,0.0
26,0.06666666666666667,0.08333333333333333,0.0,0.0,0.0,0.0,0.0
