de.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0.39223227027636803,0.2834733547569204,0.294174202707276,0.10206207261596574,0.31980107453341566,0.0,0.0,0.12499999999999997,0.11322770341445956,0.0,0.0,0.0,0.15811388300841897,0.25,0.16366341767699427,0.0,0.1889822365046136,0.1386750490563073,0.0,0.2651650429449553
2,0.062017367294604234,0.05976143046671968,0.1860521018838127,0.12909944487358055,0.0,0.14142135623730948,0.12247448713915889,0.15811388300841897,0.0,0.0,0.047673129462279605,0.0,0.09999999999999998,0.0,0.0,0.0,0.05976143046671968,0.043852900965351466,0.0,0.05590169943749474
3,0.16724840200141816,0.08058229640253803,0.16724840200141816,0.0,0.09090909090909091,0.09534625892455924,0.11009637651263607,0.21320071635561041,0.09656090991705352,0.13483997249264842,0.06428243465332249,0.13483997249264842,0.0,0.1421338109037403,0.09304842103984709,0.0,0.08058229640253803,0.05913123959890826,0.15075567228888181,0.15075567228888181
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.08362420100070908,0.08058229640253803,0.08362420100070908,0.0,0.09090909090909091,0.0,0.055048188256318034,0.10660035817780521,0.2414022747926338,0.13483997249264842,0.1928473039599675,0.13483997249264842,0.0,0.1421338109037403,0.2326210525996177,0.0,0.16116459280507606,0.11826247919781652,0.15075567228888181,0.07537783614444091
6,0.0,0.0890870806374748,0.0,0.0,0.0,0.0,0.0,0.1178511301977579,0.10675210253672475,0.0,0.07106690545187015,0.0,0.14907119849998599,0.07856742013183861,0.10286889997472794,0.0,0.0890870806374748,0.06537204504606135,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.19611613513818402,0.0,0.0,0.0,0.0,0.24999999999999994,0.11322770341445956,0.0,0.1507556722888818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17677669529663687
9,0.17541160386140586,0.1690308509457033,0.17541160386140586,0.09128709291752768,0.28603877677367767,0.0,0.0,0.0,0.30382181012509996,0.0,0.1348399724926484,0.0,0.07071067811865474,0.29814239699997197,0.2927700218845599,0.0,0.1690308509457033,0.12403473458920847,0.0,0.15811388300841897
10,0.0,0.0,0.0,0.0,0.0,0.11952286093343936,0.2760262237369417,0.0,0.0,0.0,0.0,0.0,0.25354627641855493,0.0,0.0,0.0,0.0,0.07412493166611012,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.223606797749979,0.0,0.0,0.0,0.0,0.0,0.18257418583505536,0.0,0.0,0.0,0.0,0.08006407690254358,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16984155512168936,0.0,0.1507556722888818,0.0,0.0,0.08333333333333333,0.16366341767699427,0.0,0.0,0.0,0.0,0.0
13,0.1307440900921227,0.12598815766974242,0.1307440900921227,0.06804138174397717,0.21320071635561047,0.0,0.0,0.0,0.22645540682891915,0.0,0.251259453814803,0.0,0.05270462766947299,0.27777777777777785,0.2545875386086578,0.0,0.12598815766974242,0.1386750490563073,0.0,0.11785113019775793
