de.it,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0.3086066999241838,0.3396831102433787,0.19611613513818402,0.0,0.31622776601683794,0.35355339059327373,0.0,0.0,0.0,0.0,0.16222142113076252,0.23145502494313785,0.21320071635561041,0.0,0.2988071523335984
2,0.0,0.21483446221182984,0.0,0.0,0.0,0.0,0.0,0.08606629658238703,0.09486832980505137,0.04225771273642582,0.1025978352085154,0.0,0.13483997249264842,0.11952286093343936,0.07559289460184544
3,0.1973855084879307,0.14484136487558028,0.08362420100070908,0.30151134457776363,0.13483997249264842,0.10050378152592121,0.0,0.058025885318565944,0.08528028654224416,0.0,0.3458572319330373,0.0657951694959769,0.18181818181818182,0.08058229640253803,0.2548235957188128
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0657951694959769,0.04828045495852676,0.08362420100070908,0.0,0.13483997249264842,0.10050378152592121,0.0,0.0,0.0,0.05698028822981897,0.06917144638660747,0.1315903389919538,0.18181818181818182,0.08058229640253803,0.10192943828752511
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0629940788348712,0.0,0.14547859349066158,0.10050378152592121,0.0,0.0563436169819011
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19518001458970666
8,0.1543033499620919,0.11322770341445956,0.0,0.2357022603955158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.13801311186847084,0.15191090506254998,0.17541160386140586,0.0,0.28284271247461895,0.21081851067789195,0.0,0.0,0.0,0.0,0.14509525002200233,0.2760262237369417,0.19069251784911848,0.0,0.2672612419124244
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21821789023599236,0.10690449676496974,0.0,0.0,0.0,0.0,0.0,0.0
11,0.08908708063747481,0.0,0.11322770341445959,0.0,0.18257418583505536,0.0,0.0,0.15713484026367722,0.05773502691896258,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07715167498104596,0.0,0.0,0.11952286093343936
13,0.15430334996209194,0.11322770341445958,0.19611613513818407,0.0,0.21081851067789195,0.15713484026367722,0.0,0.0,0.0,0.0445435403187374,0.10814761408717503,0.15430334996209194,0.2842676218074806,0.06299407883487121,0.19920476822239894
