de.it,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0.13043478260869565,0.10810810810810811,0.10526315789473684,0.0,0.18181818181818182,0.21428571428571427,0.0,0.0,0.0,0.0,0.10526315789473684,0.11538461538461539,0.11764705882352941,0.0,0.0967741935483871
2,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.025,0.04,0.024390243902439025,0.034482758620689655,0.0,0.037037037037037035,0.03333333333333333,0.023809523809523808
3,0.11538461538461539,0.07317073170731707,0.043478260869565216,0.17647058823529413,0.06666666666666667,0.05263157894736842,0.0,0.029411764705882353,0.045454545454545456,0.0,0.2,0.03225806451612903,0.1,0.041666666666666664,0.12121212121212122
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.03571428571428571,0.023255813953488372,0.043478260869565216,0.0,0.06666666666666667,0.05263157894736842,0.0,0.0,0.0,0.02857142857142857,0.043478260869565216,0.06666666666666667,0.1,0.041666666666666664,0.05714285714285714
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.07142857142857142,0.05263157894736842,0.0,0.029411764705882353
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571
8,0.05263157894736842,0.029411764705882353,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.07692307692307693,0.04878048780487805,0.09523809523809523,0.0,0.15384615384615385,0.11764705882352941,0.0,0.0,0.0,0.0,0.09523809523809523,0.14814814814814814,0.10526315789473684,0.0,0.09090909090909091
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.05,0.0,0.0,0.0,0.0,0.0,0.0
11,0.043478260869565216,0.0,0.05555555555555555,0.0,0.1,0.0,0.0,0.034482758620689655,0.025,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.030303030303030304
13,0.09090909090909091,0.04081632653061224,0.10714285714285714,0.0,0.09523809523809523,0.08,0.0,0.0,0.0,0.023809523809523808,0.06896551724137931,0.08333333333333333,0.16,0.03225806451612903,0.1
