fr.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,0.42857142857142855,0.19047619047619047,0.05263157894736842,0.045454545454545456,0.08333333333333333,0.10526315789473684,0.047619047619047616,0.03333333333333333,0.0,0.030303030303030304,0.0,0.09375,0.11538461538461539,0.13636363636363635,0.058823529411764705,0.0,0.13636363636363635,0.06060606060606061,0.0,0.17391304347826086,0.07142857142857142
2,0.2,0.7058823529411765,0.2,0.17391304347826086,0.07142857142857142,0.08695652173913043,0.04,0.0,0.0,0.0,0.0,0.11428571428571428,0.13793103448275862,0.11538461538461539,0.05263157894736842,0.0,0.11538461538461539,0.05405405405405406,0.0,0.19230769230769232,0.05555555555555555
3,0.17647058823529413,0.3157894736842105,0.5384615384615384,0.2777777777777778,0.08333333333333333,0.10526315789473684,0.047619047619047616,0.0,0.058823529411764705,0.030303030303030304,0.0,0.16666666666666666,0.20833333333333334,0.08695652173913043,0.058823529411764705,0.0,0.13636363636363635,0.06060606060606061,0.0,0.2857142857142857,0.07142857142857142
4,0.1,0.22727272727272727,0.2222222222222222,0.5625,0.07692307692307693,0.045454545454545456,0.09090909090909091,0.0,0.0,0.0,0.0,0.08823529411764706,0.14814814814814814,0.038461538461538464,0.02702702702702703,0.0,0.08,0.027777777777777776,0.0,0.11538461538461539,0.0625
5,0.125,0.09523809523809523,0.058823529411764705,0.10526315789473684,0.3333333333333333,0.11764705882352941,0.1111111111111111,0.0,0.0,0.0,0.0,0.06451612903225806,0.038461538461538464,0.09523809523809523,0.0625,0.0,0.09523809523809523,0.06451612903225806,0.0,0.08695652173913043,0.0
6,0.0,0.041666666666666664,0.0,0.0,0.0,0.23529411764705882,0.0,0.03333333333333333,0.058823529411764705,0.030303030303030304,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142
7,0.037037037037037035,0.03125,0.0,0.0,0.030303030303030304,0.0,0.0,0.56,0.04,0.024390243902439025,0.045454545454545456,0.0,0.08823529411764706,0.0,0.0,0.0,0.03125,0.0,0.047619047619047616,0.0,0.045454545454545456
8,0.0,0.045454545454545456,0.058823529411764705,0.0,0.0,0.0,0.0,0.03571428571428571,0.7777777777777778,0.10344827586206896,0.0,0.06451612903225806,0.038461538461538464,0.0,0.030303030303030304,0.0,0.09523809523809523,0.0,0.0,0.041666666666666664,0.08333333333333333
9,0.027777777777777776,0.05,0.05714285714285714,0.05263157894736842,0.023809523809523808,0.02702702702702703,0.02631578947368421,0.0,0.06060606060606061,0.5454545454545454,0.0,0.15555555555555556,0.045454545454545456,0.05,0.17777777777777778,0.0,0.05,0.04,0.0,0.07317073170731707,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.125,0.0,0.0
11,0.0,0.0625,0.11538461538461539,0.06666666666666667,0.0,0.0,0.0,0.0,0.08,0.13157894736842105,0.0,0.76,0.05555555555555555,0.0625,0.0975609756097561,0.0,0.030303030303030304,0.023255813953488372,0.0,0.09090909090909091,0.043478260869565216
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.125,0.0,0.0
13,0.08,0.14285714285714285,0.125,0.15384615384615385,0.06451612903225806,0.037037037037037035,0.03571428571428571,0.05555555555555555,0.0,0.0,0.0,0.07692307692307693,0.5652173913043478,0.03225806451612903,0.04878048780487805,0.0,0.03225806451612903,0.024390243902439025,0.0,0.13333333333333333,0.047619047619047616
14,0.08695652173913043,0.07142857142857142,0.041666666666666664,0.037037037037037035,0.06896551724137931,0.08333333333333333,0.038461538461538464,0.0,0.0,0.08333333333333333,0.0,0.17647058823529413,0.13333333333333333,0.30434782608695654,0.1388888888888889,0.0,0.07142857142857142,0.08108108108108109,0.0,0.10344827586206896,0.05263157894736842
15,0.04878048780487805,0.043478260869565216,0.023809523809523808,0.022222222222222223,0.0425531914893617,0.047619047619047616,0.022727272727272728,0.0,0.025,0.14,0.0,0.16,0.061224489795918366,0.09090909090909091,0.5945945945945946,0.0,0.06666666666666667,0.05454545454545454,0.0,0.06382978723404255,0.02702702702702703
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0
17,0.14285714285714285,0.11538461538461539,0.09090909090909091,0.08,0.07142857142857142,0.08695652173913043,0.04,0.029411764705882353,0.1,0.02702702702702703,0.0,0.08333333333333333,0.03125,0.07407407407407407,0.08108108108108109,0.0,0.6111111111111112,0.08333333333333333,0.0,0.06896551724137931,0.0
18,0.09090909090909091,0.05128205128205128,0.02857142857142857,0.02631578947368421,0.07692307692307693,0.08823529411764706,0.05555555555555555,0.044444444444444446,0.0,0.02040816326530612,0.0,0.0625,0.046511627906976744,0.07894736842105263,0.061224489795918366,0.0,0.10810810810810811,0.3076923076923077,0.0,0.04878048780487805,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
20,0.13043478260869565,0.19230769230769232,0.18181818181818182,0.11538461538461539,0.06666666666666667,0.08,0.037037037037037035,0.0,0.043478260869565216,0.02564102564102564,0.0,0.1388888888888889,0.12903225806451613,0.06896551724137931,0.05,0.0,0.06896551724137931,0.05128205128205128,0.0,0.65,0.10526315789473684
